,Attributes,Description
0,Latin Name,Sedum ternatum
1,Common Name,Woodland stonecrop or Wild stonecrop
2,Family,Crassulaceae
3,USDA hardiness,3-9
4,Known Hazards,None Known
5,Habitats,"Wooded ravines, partially shaded banks along rivers and streams, lightly shaded cliffs, and rocky wooded slopes. Found on slopes where there is little ground vegetation normally in or near woodlands."
6,Range,Native to the eastern United States from Maine to Georgia and west from Michigan to Iowa and Arkansas.
7,Edibility Rating,(2 of 5)
8,Other Uses,(2 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Full shade,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Sedum_ternatum1.JPEG, https://pfaf.org/../Admin/PlantImages/Sedum_ternatum2.JPEG"
13,Summary,
14,Physical Characteristics,"Sedum ternatum is an evergreen Perennial growing to 0.2 m (0ft 6in) by 0.3 m (1ft) at a medium rate.  See above for USDA hardiness. It is hardy to UK zone 4. The flowers are pollinated by Bees, Insects. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It can grow in full shade (deep woodland) semi-shade (light woodland) or no shade. It prefers dry or  moist soil and can tolerate drought."
15,Synonyms,S. deficiens Donn. S. portulacoides Willd. S. ternatum var. minus Praeger
16,Plant Habitats,
17,Edible Uses Description,Leaves. Succulent young leaves [1-2].
18,Medicinal Uses,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
20,Other Uses,
21,Other Uses Description,"Ground cover including semi-shade. A good rock gardens plant. Invertebrates shelter: beneficial for insects and other arthropods. Nectary: provides nectar or pollen for beneficial insects [1-2]. The flower nectar and pollen of stonecrops (Sedum spp.) attract various kinds of bees, including Andrena forbesii (Krombein et al., 1979). Less often, wasps and flies visit flowers of these plants. Insects that feed on the foliage of Wild Stonecrop (Sedum ternatum) include the Sedum Aphid (Aphis sedi) and the aphid Aphis acrita. The Eastern Chipmunk eats the roots of this plant (Wrazen & Svendsen, 1978)."
22,Cultivation Details,
23,Cultivation Details Description,"The preference is partial sun to light shade, moist to dry-mesic conditions, and a loamy or rocky soil. Tolerates part shade and moist soils better than most other sedums. Bloom Time: April to May. Bloom Description: White. Flower: Showy. Attracts: Bees, Butterflies. Tolerates rabbit, deer, drought, air pollution.For polyculture design as well as the above-ground architecture (form - tree, shrub etc. and size shown above) information on the habit and root pattern is also useful and given here if available. Evergreen. The plant growth habit is a runner spreading indefinitely by rhizomes or stolons  [1-2]."
24,Plant Propagation,"Division, Cuttings. Easy - divide or cut stems and lay on potting soil or place shallowly into the potting soil."
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
