,Attributes,Description
0,Latin Name,Setaria palmifolia
1,Common Name,Highland Pitpit. Palm Grass
2,Family,Poaceae
3,USDA hardiness,10-12
4,Known Hazards,None known
5,Habitats,"Open forests, thicket margins, shady path sides[266 ]."
6,Range,"E. Asia - southern China, India, Bangladesh, Malaysia, Indo-China."
7,Edibility Rating,(3 of 5)
8,Other Uses,(1 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(2 of 5)
11,Care (info),"Tender,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Setaria_palmifolia1.JPEG, https://pfaf.org/../Admin/PlantImages/Setaria_palmifolia2.JPEG"
13,Summary,
14,Physical Characteristics,"Setaria palmifolia is an evergreen Perennial growing to 3 m (9ft) by 2 m (6ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10. The flowers are pollinated by Wind.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil and can tolerate drought. The plant can tolerates strong winds but not maritime exposure."
15,Synonyms,Agrostis plicata Lour. Chaetochloa effusa (E.Fourn.) Hitchc. Chaetochloa palmifolia (J.König) Hitchc. & Chase Chaetochloa sulcata (Aubl.) Hitchc. Chamaeraphis effusa (E.Fourn.) Kuntze Chamaeraphis nepalensis (Spreng.) Kuntze Chamaeraphis neurodes (F.W.Schultz) Kuntze Chamaeraphis palmifolia (K.D.Koenig) Kuntze Chamaeraphis paniculifera (Steud.) Kuntze Chamaeraphis sulcata (Aubl.) Kuntze Panicum amplissimum Steud. Panicum kleinianum Nees ex Andersson Panicum lene Steud. Panicum mexicanum Scribn. & Merr. Panicum nepalense Spreng. Panicum nervosum Roxb. Panicum neurodes Schult. Panicum palmatum R.Schleich. Panicum palmifolia J.König Panicum palmifolium J. König Panicum paniculiferum Steud. Panicum plicatum Roxb. Panicum plicatum Willd. Panicum sulcatum Aubl. Setaria effusa E.Fourn. Setaria lenis (Steud.) Miq. Setaria paniculifera (Steud.) E.Fourn. Setaria sulcata (Aubl.) Desv.
16,Plant Habitats,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans.,Shoots: "
18,Edible Uses,
19,Edible Uses Description,"Seeds - boiled or roasted and used as a substitute for rice[301 ]. The hearts of young shoots can be eaten raw, steamed or cooked with rice[301 ]. Very young plants are eaten raw as a side dish with rice[301 ]."
20,Medicinal Uses,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.The plant is used medicinally[266 ].
22,Other Uses,
23,Other Uses Description,Cultivated as an ornamental plant for its palm-like pleated leaves. A folk belief in Taiwan holds that the number of latitudinal creases on the leaf predicts the number of typhoons that will hit the area in the coming or current typhoon season. It is known locally as typhoon grass.
24,Cultivation Details,"Management: Coppice: Cut to the ground repeatedly - resprouting vigorously. Non-destructive management systems maintaining the soil organic carbon.,Management: Standard: Plants grow to their standard height. Harvest fruit, seeds, or other products. Non-Destructive management systems.,Regional Crop: These crops have been domesticated and cultivated regionally but have not been adopted elsewhere and are typically not traded globally, Examples in this broad category include perennial cottons and many nuts and staple fruits.,Staple Crop: Balanced carb: (0-15 percent protein, 0-15 percent oil, with at least one over 5 percent). The carbohydrates are from either starch or sugar. Annuals include maize, wheat, rice, and potato. Perennials include chestnuts, carob, perennial fruits, nuts, cereals, pseudocereals, woody pods, and acorns."
25,Cultivation Details Description,Management: Coppice  Management: Standard  Regional Crop  Staple Crop: Balanced carbPrefers a well-drained but moisture-retentive fertile soil[200 ]. Established plants are drought tolerant[423 ]. The plant has become a weed in many tropical areas[423 ].
26,Plant Propagation,Seed - Division.
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
