,Attributes,Description,age
0,Latin Name,Smyrnium olusatrum,
1,Common Name,Alexanders,
2,Family,Apiaceae or Umbelliferae,
3,USDA hardiness,5-9,
4,Known Hazards,None known,
5,Habitats,"Hedges and waste places, often near the sea[17].",
6,Range,Europe to Asia. Naturalized in Britain[17].,
7,Edibility Rating,(3 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(1 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/SmyrniumOlusatrum.jpg, https://pfaf.org/../Admin/PlantImages/SmyrniumOlusatrum2.jpg",
13,Summary,,
14,Physical Characteristics,"Smyrnium olusatrum is a BIENNIAL growing to 1.2 m (4ft) by 0.7 m (2ft 4in).  See above for USDA hardiness. It is hardy to UK zone 6 and is not frost tender.  It is in flower from May to June, and the seeds ripen from June to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. The plant is self-fertile. It is noted for attracting wildlife.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil. The plant can tolerate maritime exposure.",
15,Synonyms,,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Shady Edge; Hedgerow;,
17,Edible Parts,"Flowers: ,Leaves: ,Root: includes bulbs, corms, tubers, rhizomes etc.,Shoots: ,Stem: this often intergrades into leaves.",
18,Edible Uses,"Condiment: the various plants that are used as flavourings, either as herbs, spices or condiments.",
19,Edible Uses Description,"Leaves and young shoots - raw in salads or cooked in soups, stews etc[2, 5, 8, 12, 27, 37, 115, 183]. The plant comes into growth in the autumn and the leaves are often available throughout the winter[5, 52]. They have a rather strong celery-like flavour and are often blanched (by excluding light from the growing plant) before use[183]. Leafy seedlings can be used as a parsley substitute[183]. Stem - raw or cooked[2, 5, 8, 12, 27, 37, 53, 115]. It tastes somewhat like celery, but is more pungent[17, 244]. The stem is often blanched (by excluding light from the growing plant) before use[183]. Flower buds - raw[12, 52]. Added to salads, they have a celery-like flavour[K]. The spicy seeds are used as a pepper substitute[52, 183]. Root - cooked. Boiled and used in soups, its flavour is somewhat like celery. The root is said to be more tender if it has been kept in a cool place all winter[183].",
20,Medicinal Uses,"Bitter: Increases the appetite and stimulates digestion by acting on the mucous membranes of the mouth. Also increases the flow of bile, stimulates repair of the gut wall lining and regulates the secretion of insulin and glucogen.,Digestive: Aids digestion.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Bitter  DigestiveThe whole plant is bitter and digestive. It has been used in the past in the treatment of asthma, menstrual problems and wounds, but is generally considered to be obsolete as a medicinal plant[238].",
22,Other Uses,,
23,Other Uses Description,A good wildlife plant. Scented. A good plant for food forests/forest gardens.,
24,Cultivation Details,,
25,Cultivation Details Description,"Succeeds in most soils but prefers an open sunny position in a well-drained moisture retentive soil[200]. Hardy to about -15°c[200]. At one time this plant was extensively grown for its edible leaves and stems but it has now fallen into virtual disuse, having been replaced by celery[1, 2, 27, 37, 61, 183]. The seeds are highly aromatic with a myrrh-like scent[245]. A good bee plant. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is fleshy. Thick or swollen - fibrous or tap root [2-1].",
26,Plant Propagation,"Seed - best sown in an outdoor seedbed in autumn and planted into its permanent position in late spring[1, 200]. Germination can be slow[200]. The seed can also be sown in situ in spring.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
