,Attributes,Description,age
0,Latin Name,Solanum nigrum,
1,Common Name,"Black Nightshade, Common Nightshade, Poisonberry, Black Nightshade",
2,Family,Solanaceae,
3,USDA hardiness,Coming soon,
4,Known Hazards,"There is a lot of disagreement over whether or not the leaves or fruit of this plant are poisonous. Views vary from relatively poisonous to perfectly safe to eat. The plant is cultivated as a food crop, both for its fruit and its leaves, in some parts of the world and it is probably true to say that toxicity can vary considerably according to where the plant is grown and the cultivar that is being grown[4, 7, 10, 13, 65, 76]. The unripe fruit contains the highest concentration of toxins[65].",
5,Habitats,Uncultivated and waste land[7]. It is a common garden weed.,
6,Range,"Found throughout most of the world, including Britain.",
7,Edibility Rating,(2 of 5),
8,Other Uses,(2 of 5),
9,Weed Potential,Yes,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Well drained soil,Moist Soil,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/SolanumNigrum.jpg, https://pfaf.org/../Admin/PlantImages/SolanumNigrum2.jpg",
13,Summary,"Bloom Color: White. Main Bloom Time: Early summer, Early fall, Late summer, Late spring, Mid summer. Form: Upright or erect.",
14,Physical Characteristics,"Solanum nigrum is a ANNUAL growing to 0.6 m (2ft) by 0.3 m (1ft in).  It is in flower from July to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil.",
15,Synonyms,,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,"Fruit: ,Leaves: ,Shoots: ",
18,Edible Uses,,
19,Edible Uses Description,"Fruit - cooked[2, 27, 89, 179]. Used in preserves, jams and pies[183]. A pleasant musky taste[85]. Somewhat like a tomato, but much less pleasant, it improves slightly after a frost[K]. Only the fully ripe fruits should be used, the unripe fruits contain the toxin solanine[65, 173, 183]. The fruit contains about 2.5% protein, 0.6% fat, 5.6% carbohydrate, 1.2% ash[179]. The fruit is about 9mm in diameter[200]. Young leaves and new shoots - raw or cooked as a potherb or added to soups[2, 27, 85, 89, 173, 179, 183]. This plant is cultivated as a leaf crop in some areas, but see the notes at the top of the page regarding possible toxicity.",
20,Medicinal Uses,"Antiperiodic: Counteracts recurring illnesses such as malaria.,Antiphlogistic: Reduces inflammation.,Antipsoriatic: Used to treat psoriasis (an autoimmune disease that affects the skin).,Diaphoretic: Induces perspiration.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Emollient: Softens the skin, causing warmth and moisture.,Febrifuge: Reduces fevers.,Narcotic: Relieves pain, induces drowsiness and gives a sense of well-being.,Purgative: A drastic laxative causing a cleansing or watery evacuation of the bowels, usually with a griping pain.,Sedative: Gently calms, reducing nervousness, distress and irritation.",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Antiperiodic  Antiphlogistic  Antipsoriatic  Diaphoretic  Diuretic  Emollient  Febrifuge  Narcotic  Purgative  SedativeThe whole plant is antiperiodic, antiphlogistic, diaphoretic, diuretic, emollient, febrifuge, narcotic, purgative and sedative[4, 21, 145, 147, 192, 218]. It is harvested in the autumn when both flowers and fruit are upon the plant, and is dried for later use[4]. Use with caution[21], see notes above on toxicity. The leaves, stems and roots are used externally as a poultice, wash etc in the treatment of cancerous sores, boils, leucoderma and wounds[218, 257]. Extracts of the plant are analgesic, antispasmodic, anti-inflammatory and vasodilator[218]. The plant has been used in the manufacture of locally analgesic ointments and the juice of the fruit has been used as an analgesic for toothaches[7].",
22,Other Uses,Soil reclamation: Plants that can be grown in such circumstances an the spoil tips of mines in order to restore fertility.,
23,Other Uses Description,This species has been found to be effective in removing PCB's from the soil and detoxifying them[248]. The plant is more effective in doing this if it is infected with the bacterial parasite Agrobacterium tumefaciens[248].,
24,Cultivation Details,,
25,Cultivation Details Description,"Succeeds in most soils[1]. Dislikes shade[1]. Flowers are formed on the old wood[206]. Very tolerant of dry conditions[206]. Caterpillars and slugs are particularly fond of this plant and can totally destroy it[K]. Grows well with clover[18]. Does not grow well with wormwood or white mustard and, when these plants are growing close to S. nigra, they increase its content of toxic alkaloids[18]. Some forms of this plant are cultivated for their edible fruits or leaves[200], see notes about possible toxicity at the top of this page. The leaves of one form are sold in local markets in Greece[148]. Special Features:Not North American native, Naturalizing, All or parts of this plant are poisonous.",
26,Plant Propagation,Seed - sow spring in situ. The seed can also be sown in a greenhouse during the spring if required. Prick out the seedlings into individual pots when they are large enough to handle and plant out in late spring.,
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
30,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
