,Attributes,Description
0,Latin Name,Spartium junceum
1,Common Name,"Spanish Broom, Weaver's Broom, Spanish Broom"
2,Family,Fabaceae or Leguminosae
3,USDA hardiness,8-9
4,Known Hazards,None known
5,Habitats,"Dry situations amongst rocks and in bushy places, usually on limestone soils[45, 148]."
6,Range,S. Europe to N. Africa. Naturalized in S. Britain[17].
7,Edibility Rating,(0 of 5)
8,Other Uses,(4 of 5)
9,Weed Potential,Yes
10,Medicinal Rating,(2 of 5)
11,Care (info),"Frost Hardy,Well drained soil,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/noplantimage1.JPG, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,"Bloom Color: Yellow. Main Bloom Time: Early summer, Early fall, Late summer, Mid summer. Form: Rounded, Upright or erect."
14,Physical Characteristics,"Spartium junceum is a deciduous Shrub growing to 3.5 m (11ft) by 3 m (9ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 8.  It is in flower from June to September, and the seeds ripen from August to October. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects. It can fix Nitrogen.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils, prefers  well-drained soil and can grow in nutritionally poor soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil and can tolerate drought. The plant can tolerate maritime exposure. It can tolerate atmospheric pollution."
15,Synonyms,Genista juncea. G. odorata.
16,Plant Habitats,Woodland Garden Sunny Edge;
17,Edible Uses Description,None known
18,Medicinal Uses,"Diuretic: Acts on the kidneys, promoting the flow of urine.,Emetic: Induces vomiting.,Purgative: A drastic laxative causing a cleansing or watery evacuation of the bowels, usually with a griping pain."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Diuretic  Emetic  PurgativeThe young herbaceous tips of flowering shoots are harvested in spring, generally in May[4]. They can be used fresh or dried and are cardiotonic, cathartic, diuretic, emetic and purgative[4, 7, 89]. The seeds can also be used[4]. The plant is an efficacious and potent diuretic[7]. This plant is 5 - 6 times more active than the medicinally similar Cytisus scoparius and should be used with caution since large doses are likely to upset the stomach and cause purging[4]."
20,Other Uses,"Basketry: Plant used in making baskets and other items such as chairs. Includes plants that are only used as an ornamental addition.,Besom: A type of broom.,Dye: Plants that provide dyes.,Essential: Essential oils that are used in perfumery, medicines, paint solvents, insect repellents etc.,Fibre: Used for making cloth, rope, paper etc."
21,Other Uses Description,"A fibre from the stems is a hemp substitute[148]. It is used to make thread, cordage and coarse fabrics[4, 7, 11, 61, 89, 160, 169]. It is also used for stuffing pillows etc and for making paper[46]. The smaller stems are used in basket making[7, 46, 61, 89, 160]. The branches are often made into brooms[7]. A yellow dye is obtained from the flowers[7, 89, 148, 169]. An essential oil is obtained from the flowers, it is used in perfumery[46, 61]. 1200kg of flowers yields 300 - 350gr absolute[46]."
