,Attributes,Description,age
0,Latin Name,Spinacia oleracea,
1,Common Name,Spinach,
2,Family,Chenopodiaceae,
3,USDA hardiness,4-8,
4,Known Hazards,"The leaves of most varieties of spinach are high in oxalic acid[218]. Although not toxic, this substance does lock up certain minerals in a meal, especially calcium, making them unavailable to the body. Therefore mineral deficiencies can result from eating too much of any leaf that contains oxalic acid. However, the mineral content of spinach leaves is quite high so the disbenifits are to a large extent outweighed by the benefits. There are also special low-oxalic varieties of spinach that have been developed. Cooking the leaves will also reduce the content of oxalic acid. People with a tendency to rheumatism, arthritis, gout, kidney stones or hyperacidity should take especial caution if including this plant in their diet since it can aggravate their condition[238]. Possible methaemoglobinaemia from nitrates in children under 4 months. Anticoagulant patients should avoid excessive intake due to vitamin K content [301].",
5,Habitats,Not known in the wild.,
6,Range,"The origin of this plant is uncertain, it probably arose in S.W. Asia.",
7,Edibility Rating,(3 of 5),
8,Other Uses,(1 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(2 of 5),
11,Care (info),"Fully Hardy,Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/SpinaciaOleracea.jpg, https://pfaf.org/../Admin/PlantImages/SpinaciaOleracea2.jpg",
13,Summary,,
14,Physical Characteristics,"Spinacia oleracea is a ANNUAL growing to 0.3 m (1ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 5 and is not frost tender. It is in leaf all year, in flower from June to September. The species is dioecious (individual flowers are either male or female, but only one sex is to be found on any one plant so both male and female plants must be grown if seed is required).  and is pollinated by Wind. The plant is not self-fertile.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,Chenopodium oleraceum. Obione stocksii. Spinacia spinosa. Moench.,
16,Plant Habitats,Cultivated Beds;,
17,Edible Parts,"Leaves: ,Seed: includes nuts, cereals, peas and beans.",
18,Edible Uses,Colouring: edible dyes,
19,Edible Uses Description,"Leaves - raw or cooked[1, 2, 16, 37, 132]. Tender young leaves can be added to salads, older leaves are used as greens or added to soups etc[183, 201]. The leaves contain oxalic acid (6 - 8% in young leaves, 23 - 27% in the cotyledons)[218], see the notes above on toxicity. A nutritional analysis of the leaves is available[218]. Seeds - raw or cooked. It can be sprouted and added to salads[183]. Chlorophyll extracted from the leaves is used as an edible green dye[142].",
20,Medicinal Uses,"Appetizer: Improves the appetite,Carminative: Reduces flatulence and expels gas from the intestines.,Febrifuge: Reduces fevers.,Hypoglycaemic: Reduces the levels of sugar in the blood.,Laxative: Stimulates bowel movements in a fairly gentle manner.,Urinary: Treats urinary problems, including urinary tract infection (UTI).",
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Appetizer  Carminative  Febrifuge  Hypoglycaemic  Laxative  UrinaryThe plant is carminative and laxative[218]. In experiments it has been shown to have hypoglycaemic properties[218]. It has been used in the treatment of urinary calculi[240]. The leaves have been used in the treatment of febrile conditions, inflammation of the lungs and the bowels[240]. The seeds are laxative and cooling[240]. They have been used in the treatment of difficult breathing, inflammation of the liver and jaundice[240].",
22,Other Uses,Dye: Plants that provide dyes.,
23,Other Uses Description,A yellow dye is obtained from the leaves[100].,
24,Cultivation Details,,
25,Cultivation Details Description,"Plants grow best and produce their heaviest crop of leaves on a nitrogen-rich soil[16, 37, 200]. They dislike very heavy or very light soils[37]. They also dislike acid soils, preferring a neutral to slightly alkaline soil[200]. Plants require plenty of moisture in the growing season, dry summers causing the plants to quickly run to seed[27]. Summer crops do best in light shade to encourage more leaf production before the plant goes to seed[27], winter crops require a warm dry sunny position[1, 27]. Young plants are hardy to about -9°c[200]. Spinach is often cultivated for its edible leaves, there are some named varieties[132, 183]. These varieties can be grouped into two main types as detailed below:- Forms with prickly seeds. These are the more primitive forms. Their leaves are more lobed and they are in general more cold tolerant and also more resistant of summer heat[264]. They were more often used to produce a crop in the winter[200, 264]. Forms with round seeds have been developed in cultivation, These have broader leaves, tend to be less cold hardy and were also more prone to bolt in hot weather[264]. They were used mainly for the summer crop[200]. Most new cultivars are of the round seeded variety and these have been developed to be more resistant to bolting in hot weather, more cold tolerant, to produce more leaves and also to be lower in calcium oxalate which causes bitterness and also has negative nutritional effects upon the body[264]. Some modern varieties have been developed that are low in oxalic acid. Edible leaves can be obtained all year round from successional sowings[200]. The summer varieties tend to run to seed fairly quickly, especially in hot dry summers and so you need to make successional sowings every few weeks if a constant supply is required. Winter varieties provide leaves for a longer period, though they soon run to seed when the weather warms up. Spinach grows well with strawberries[18, 20]. It also grows well with cabbages, onions, peas and celery[201]. A fast-growing plant, the summer crop can be interplanted between rows of slower growing plants such as Brussels sprouts. The spinach would have been harvested before the other crop needs the extra space[200]. Spinach is a bad companion for grapes and hyssop[201]. In garden design, as well as the above-ground architecture of a plant, root structure considerations help in choosing plants that work together for their optimal soil requirements including nutrients and water. The root pattern is fleshy. Thick or swollen - fibrous or tap root [2-1].",
26,Plant Propagation,"Seed - sow in situ from March to June for a summer crop. Make successional sowings, perhaps once a month, to ensure a continuity of supply. The seed germinates within about 2 weeks and the first leaves can be harvested about 6 weeks later. Seed is sown in situ during August and September for a winter crop.",
27,Other Names,If available other names are mentioned here,
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
29,Found In,Countries where the plant has been found are listed here if the information is available,
