,Attributes,Description
0,Latin Name,Stanleya albescens
1,Common Name,White Prince's Plume
2,Family,Brassicaceae or Cruciferae
3,USDA hardiness,6-9
4,Known Hazards,None known
5,Habitats,"Seleniferous soils, 1200 - 1500 metres in Arizona."
6,Range,South-western N. America.
7,Edibility Rating,(2 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Fully Hardy,Well drained soil,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/noplantimage1.JPG, https://pfaf.org/../Admin/PlantImages/noplantimage2.JPG"
13,Summary,
14,Physical Characteristics,"Stanleya albescens is a PERENNIAL.  See above for USDA hardiness. It is hardy to UK zone 7. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy) and medium (loamy) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers dry or  moist soil."
15,Synonyms,
16,Plant Habitats,Cultivated Beds;
17,Edible Parts,"Leaves: ,Seed: includes nuts, cereals, peas and beans.,Shoots: "
18,Edible Uses,
19,Edible Uses Description,"Seed - cooked. It is used as a piñole. Young leaves and shoots - cooked[46, 61, 105, 161, 177]. Used as cooked greens in the spring[216, 257]."
20,Medicinal Uses,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
22,Other Uses,
23,Other Uses Description,None known
24,Cultivation Details,
25,Cultivation Details Description,"We have very little information on this species and do not know if it will be hardy outdoors in Britain, though judging by its native range it should succeed outdoors at least in the milder parts of the country. The following notes are based on the general needs of the genus. Requires a perfectly drained soil in full sun[200]. Plants resent root disturbance."
26,Plant Propagation,Seed - sow spring in a greenhouse. Germination should take place within 3 weeks. Pot up into individual pots as soon as the plants are big enough to handle in order to preserve the root system. Plant out in summer. Division in spring?
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
