,Attributes,Description,age
0,Latin Name,Syncarpia glomulifera,
1,Common Name,Turpentine Tree,
2,Family,Myrtaceae,
3,USDA hardiness,Coming soon,
4,Known Hazards,None known,
5,Habitats,"Coastal scrub forests, preferring deep fertile soils in valleys[167].",
6,Range,"Australia - Queensland, New South Wales.",
7,Edibility Rating,(0 of 5),
8,Other Uses,(3 of 5),
9,Weed Potential,No,
10,Medicinal Rating,(0 of 5),
11,Care (info),"Moist Soil,Semi-shade,Full sun",
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/SyncarpiaGlomulifera.jpg, https://pfaf.org/../Admin/PlantImages/SyncarpiaGlomulifera2.jpg",
13,Summary,,
14,Physical Characteristics,"Syncarpia glomulifera is a TREE growing to 30 m (98ft 5in). The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil.",
15,Synonyms,Metrosideros glomulifera Sm.,
16,Plant Habitats,Woodland Garden Sunny Edge; Hedge;,
17,Edible Uses Description,None known,
18,Medicinal Uses,,
19,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known,
20,Other Uses,"Hedge: Plants that can be grown as hedges.,Hedge: Plants that can be grown as hedges.,Wood: A list of the trees and shrubs that are noted for having useful wood.",
21,Other Uses Description,"The plant can be used to make a good screen[157].  - very durable, hard, tough, heavy, resisting marine borers[167].",
22,Cultivation Details,,
23,Cultivation Details Description,"This species is hardy to about -7°c in Australian gardens[157], though this cannot be translated directly to British gardens due to our cooler summers which do not always ripen the new wood, together with our longer, colder and wetter winters[K]. A good bee plant[167].",
24,Plant Propagation,Seed -,
25,Other Names,If available other names are mentioned here,
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search",
27,Found In,Countries where the plant has been found are listed here if the information is available,
28,Weed Potencial Description,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.,
