,Attributes,Description
0,Latin Name,Thuja plicata
1,Common Name,"Western Red Cedar, Giant Arborvitae, Giant Cedar, Incense Cedar, Western Red Cedar"
2,Family,Cupressaceae
3,USDA hardiness,5-8
4,Known Hazards,None known
5,Habitats,"Grows singly and in small groves in moist to swampy soils, usually in shady forests, from sea-level to 1350 metres[60, 82, 99]."
6,Range,Western N. America - British Columbia to California.
7,Edibility Rating,(1 of 5)
8,Other Uses,(5 of 5)
9,Weed Potential,No
10,Medicinal Rating,(2 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Wet Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/ThujaPlicata.jpg, https://pfaf.org/../Admin/PlantImages/ThujaPlicata2.jpg"
13,Summary,"Bloom Color: Yellow. Main Bloom Time: Early spring, Late spring, Mid spring. Form: Columnar, Pyramidal."
14,Physical Characteristics,"Thuja plicata is an evergreen Tree growing to 60 m (196ft) by 12 m (39ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 6. It is in leaf all year, in flower from March to April, and the seeds ripen from September to October. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant) and is pollinated by Wind.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and can grow in heavy clay soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils and can grow in very alkaline soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist or  wet soil. The plant can tolerate maritime exposure."
15,Synonyms,T. gigantea. T. lobbii. T. menziesii.
16,Plant Habitats,Woodland Garden Canopy; Hedge;
17,Edible Parts,
18,Edible Uses,"Inner bark: the bark that is found just beneath the tough outer bark of trees and shrubs.,Gum: can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods."
19,Edible Uses Description,"- fresh or dried[2, 105, 161]. The inner bark can be dried, ground into a powder and then used as a thickening in soups etc or mixed with cereals when making bread. A pitch obtained from the trunk has been used as a chewing gum[257]."
20,Medicinal Uses,"Abortifacient: Causes an abortion.,Analgesic: Relieves pain.,Antidandruff: Treats dandruff.,Antirheumatic: Treats rheumatism.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Emmenagogue: Promotes or increases the menstrual flow. In early stages of pregnancy it can induce an abortion.,Febrifuge: Reduces fevers.,Kidney: Used in the treatment of kidney diseases,Odontalgic: Treats toothache (temporary measure only) and other problems of the teeth and gums.,Pectoral: Relieves respiratory diseases, a remedy for chest diseases.,Poultice: A moist, usually warm or hot, mass of plant material applied to the skin in the treatment of burns etc.,Skin: Plants used in miscellaneous treatments for the skin.,Stomachic: Aids and improves the action of the stomach.,TB: Plants used in the treatment of tuberculosis,VD: Used in the treatment of venereal disease"
