,Attributes,Description
0,Latin Name,Trichilia emetica
1,Common Name,"Banket mahogany, Natal mahogany,"
2,Family,Meliaceae
3,USDA hardiness,10-12
4,Known Hazards,The seed coat is extremely poisonous[303 ]. The seeds are poisonous and the poisonous compounds seem to be concentrated in the seedcoat[299 ].
5,Habitats,"Locally frequent in riparian forest and in some types of munga woodland; it can be found occasionally in swamp forest, montane forest, savannah or alluvial lowland rainforest and escarpment miombo[303 ]."
6,Range,"Sub-Saharan Africa - Senegal to Sudan and into Yemen; all of East Africa to S. Africa and also Angola, Namibia."
7,Edibility Rating,(2 of 5)
8,Other Uses,(3 of 5)
9,Weed Potential,No
10,Medicinal Rating,(3 of 5)
11,Care (info),"Tender,Well drained soil,Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/Trichilia_emetica1.JPEG, https://pfaf.org/../Admin/PlantImages/Trichilia_emetica2.JPEG"
13,Summary,
14,Physical Characteristics,"Trichilia emetica is an evergreen Tree growing to 15 m (49ft) by 15 m (49ft) at a fast rate. See above for USDA hardiness. It is hardy to UK zone 10. The species is dioecious (individual flowers are either male or female, but only one sex is to be found on any one plant so both male and female plants must be grown if seed is required).  and is pollinated by Bees, Sunbirds.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers dry or  moist soil and can tolerate drought."
15,Synonyms,Trichilia chirindensis auct. Trichilia grotei Harms Trichilia jubensis Chiov. Trichilia roka Chiov. Trichilia somalensis Chiov. Trichilia umbrifera Swynn. & Baker f.
16,Plant Habitats,
17,Edible Parts,"Seed: includes nuts, cereals, peas and beans."
18,Edible Uses,"Oil: Oil,Oil: "
19,Edible Uses Description,"weet, milky, potable liquid is extracted from the arils[303 ]. The fleshy seed envelope is chewed as a substitute for kola[299 ]. The skinned seeds can be eaten raw or soaked in water and ground, the resultant liquid mixed with spinach dishes[303 ]. The seedcoat is poisonous and should be removed[299 , 303 ]. An edible oil is obtained from the fleshy seed envelope (the sarcotesta)[299 ]. The seeds are squeezed in water and the resulting tasty fatty suspension is used for cooking[398 ]. An oil obtained from the seed kernel is not edible because it is too bitter[299 ]."
20,Medicinal Uses,"Epilepsy: Used in the treatment of Epilepsy - a disorder in which nerve cell activity in the brain is disturbed, causing seizures.,Leprosy: Used to treat leprosy - a chronic bacterial infection of the skin and superficial nerves (in the skin) caused by Mycobacterium leprae."
21,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Epilepsy  LeprosyThe leaves can be used as an antidote for the irritation caused by the buffalo bean[303 ]. The bark is used in the treatment of pneumonia[392 ]. A macerate of the root bark is used to treat epilepsy and leprosy[299 ]. Pieces of bark or the powdered bark are soaked in warm water and used as an emetic or enema to treat intestinal ailments[299 , 303 ]. It is used in small doses only, since its effect can be violent[299 ]. The bark is used in the treatment of skin complaints[303 ]. The roots are purgative[392 ]. They are used in the treatment of colds and also to treat infertility and to induce labour in pregnant women[299 , 392 ]. The powdered root is used in the treatment of cirrhosis, river blindness, ascariasis and dysmenorrhoea[299 ]. A decoction of the bark and roots combined is a remedy for colds, pneumonia and for a variety of intestinal disorders including hepatitis[299 ]. A bitter-tasting medicinal oil, obtained by boiling the ground seed in water, is taken orally to relieve rheumatism[303 ]. The oil is applied externally as a treatment for leprosy; sores; ringworm and other parasites; skin diseases[392 ]. Agroforestry Uses:"
22,Other Uses,"Oil: Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses."
