,Attributes,Description
0,Latin Name,Tupeia antarctica
1,Common Name,white mistletoe
2,Family,Loranthaceae
3,USDA hardiness,Coming soon
4,Known Hazards,None known
5,Habitats,"Lowland and montane forest throughout New Zealand[173], hemiparasitic on Neopanax spp., Coprosma spp., Carpodetus spp. and Cytisus proliferus[44]."
6,Range,New Zealand.
7,Edibility Rating,(1 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,No
10,Medicinal Rating,(0 of 5)
11,Care (info),"Moist Soil,Semi-shade,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/TupeiaAntarctica.jpg, https://pfaf.org/../Admin/PlantImages/TupeiaAntarctica2.jpg"
13,Summary,
14,Physical Characteristics,"Tupeia antarctica is a SHRUB. The species is monoecious (individual flowers are either male or female, but both sexes can be found on the same plant).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It can grow in  semi-shade (light woodland) or no shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Shady Edge;
17,Edible Parts,Flowers: 
18,Edible Uses,
19,Edible Uses Description,"Fruit - raw[153, 173]."
20,Medicinal Uses,
21,Medicinal Uses Description,Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.None known
22,Other Uses,
23,Other Uses Description,None known
24,Cultivation Details,
25,Cultivation Details Description,"Plants are monoecious-dioecious, occasionally polygamous[44]."
26,Plant Propagation,Seed -
27,Other Names,If available other names are mentioned here
28,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
29,Found In,Countries where the plant has been found are listed here if the information is available
30,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
