,Attributes,Description
0,Latin Name,Vernonia glauca
1,Common Name,"Ironweed, Broadleaf ironweed"
2,Family,Asteraceae or Compositae
3,USDA hardiness,3-7
4,Known Hazards,None known
5,Habitats,Rich woods[222].
6,Range,"Eastern N. America - New Jersey to Georgia, west to Alabama and Pennsylvania."
7,Edibility Rating,(0 of 5)
8,Other Uses,(0 of 5)
9,Weed Potential,No
10,Medicinal Rating,(1 of 5)
11,Care (info),"Fully Hardy,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/VernoniaGlauca.jpg, https://pfaf.org/../Admin/PlantImages/VernoniaGlauca2.jpg"
13,Summary,
14,Physical Characteristics,"Vernonia glauca is a PERENNIAL growing to 1.5 m (5ft).  See above for USDA hardiness. It is hardy to UK zone 3.  It is in flower from July to August. The species is hermaphrodite (has both male and female organs) and is pollinated by Insects.  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,
16,Plant Habitats,Woodland Garden Sunny Edge;
17,Edible Uses Description,None known
18,Medicinal Uses,"Blood tonic: Is this any different to a blood purifier?,Odontalgic: Treats toothache (temporary measure only) and other problems of the teeth and gums.,Women's complaints: A very vague title, it deals with a miscellany of problems peculiar to the female sex."
19,Medicinal Uses Description,"Plants For A Future can not take any responsibility for any adverse effects from the use of plants. Always seek advice from a professional before using a plant medicinally.Blood tonic  Odontalgic  Women's complaintsThe root is a blood tonic[222]. It is used to regulate menstruation, relieve pain after childbirth and also in the treatment of stomach aches and bleeding[222, 257]. An infusion of the roots has been used as a mouth wash to make loose teeth firm[257]."
20,Other Uses,
21,Other Uses Description,None known
22,Cultivation Details,
23,Cultivation Details Description,"Succeeds in any soil in a sunny position[200]. When grown in a suitable site, the plants often self-sow[200]."
24,Plant Propagation,"Seed - we have no information for this species but suggest sowing the seed in a cold frame in early spring. When they are large enough to handle, prick the seedlings out into individual pots and grow them on in the greenhouse for at least their first winter. Plant them out into their permanent positions in late spring or early summer, after the last expected frosts. Division in spring."
25,Other Names,If available other names are mentioned here
26,Native Plant Search,"Search over 900 plants ideal for food forests and permaculture gardens. Filter to search native plants to your area. The plants selected are the plants in our book 'Plants For Your Food Forest: 500 Plants for Temperate Food Forests and Permaculture Gardens, as well as plants chosen for our forthcoming related books for Tropical/Hot Wet Climates and Mediterranean/Hot Dry Climates. Native Plant Search"
27,Found In,Countries where the plant has been found are listed here if the information is available
28,Weed Potencial,Right plant wrong place. We are currently updating this section. Please note that a plant may be invasive in one area but may not in your area so itâ€™s worth checking.
