,Attributes,Description
0,Latin Name,Withania somnifera
1,Common Name,"Ashwagandha - Indian Ginseng, Withania"
2,Family,Solanaceae
3,USDA hardiness,10-12
4,Known Hazards,The plant is toxic if eaten[238]. Can induce dependence [301]. May decrease the effectiveness of allopathic immunosuppressant drugs. Avoid with sleeping tablets (barbiturates) [301].
5,Habitats,"Open places, disturbed areas etc[192]. An undershrub in stony places[238]."
6,Range,"Mediterranean Europe, most of Africa, through W. Asia to Pakistan, India and Sri Lanka."
7,Edibility Rating,(1 of 5)
8,Other Uses,(2 of 5)
9,Weed Potential,No
10,Medicinal Rating,(4 of 5)
11,Care (info),"Half Hardy,Moist Soil,Full sun"
12,Plant Images,"https://pfaf.org/../Admin/PlantImages/WithaniaSomnifera2.jpg, https://pfaf.org/../Admin/PlantImages/WithaniaSomnifera3.jpg"
13,Summary,
14,Physical Characteristics,"Withania somnifera is an evergreen Shrub growing to 1 m (3ft 3in) by 0.5 m (1ft 8in).  See above for USDA hardiness. It is hardy to UK zone 9 and is frost tender. It is in leaf all year. The species is hermaphrodite (has both male and female organs).  Suitable for: light (sandy), medium (loamy) and heavy (clay) soils and prefers  well-drained soil. Suitable pH: mildly acid, neutral and basic (mildly alkaline) soils. It cannot grow in the shade. It prefers  moist soil."
15,Synonyms,Physalis somnifera. Withania kansuensis. Withania microphysalis
16,Plant Habitats,Woodland Garden Sunny Edge; Dappled Shade; Cultivated Beds; South Wall. By. West Wall. By.
17,Edible Parts,
18,Edible Uses,Curdling agent: used to curdle soya milk in making cheese.
19,Edible Uses Description,"The seeds are used to curdle plant milks in order to make vegetarian cheeses[183, 240]."
20,Medicinal Uses,"Abortifacient: Causes an abortion.,Adaptogen: Helps the body ,Antibiotic: An agent that inhibits or destroys a living organism. It usually refers to bacteria or other micro-organisms and is probably synonymous with Antibacterial,Aphrodisiac: Increases the sexual appetite.,Astringent: Produces contraction in living tissue, reducing the flow of secretions and discharges of blood, mucus, diarrhoea etc.,Deobstruent: Clears obstructions from the natural ducts of the body.,Diuretic: Acts on the kidneys, promoting the flow of urine.,Narcotic: Relieves pain, induces drowsiness and gives a sense of well-being.,Sedative: Gently calms, reducing nervousness, distress and irritation.,Tonic: Improves general health. Slower acting than a stimulant, it brings steady improvement."
