,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Actinidia arguta,Tara Vine,Climber,15.0,4-8,,LMH,SN,M,5,0,2.0,Actinidia kolomikta
1,Actinidia arguta cordifolia,,Climber,7.0,-,,LMH,SN,M,4,0,,Actinidia kolomikta
2,Actinidia arguta rufa,,Climber,7.0,-,,LMH,SN,M,4,0,,Actinidia kolomikta
3,Actinidia arisanensis,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
4,Actinidia asymmetrica,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
5,Actinidia callosa,,Climber,9.0,6-9,,LMH,SN,M,3,0,1.0,Actinidia kolomikta
6,Actinidia callosa formosana,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
7,Actinidia callosa henryi,,Climber,7.0,7-10,,LMH,SN,M,3,0,,Actinidia kolomikta
8,Actinidia callosa indochinensis,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
9,Actinidia callosa pubescens,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
10,Actinidia chinensis,Kiwi,Climber,7.5,6-9,,LMH,SN,M,4,2,2.0,Actinidia kolomikta
11,Actinidia coriacea,,Climber,8.0,5-9,,LMH,SN,M,3,0,,Actinidia kolomikta
12,Actinidia deliciosa,Kiwi Fruit,Climber,9.0,6-9,M,LMH,SN,M,5,1,1.0,Actinidia kolomikta
13,Actinidia eriantha,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
14,Actinidia fortunatii,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
15,Actinidia fulvicoma,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
16,Actinidia giraldii,,Climber,10.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
17,Actinidia glabra,,Climber,13.5,-,,LMH,SN,M,3,0,,Actinidia kolomikta
18,Actinidia hemsleyana,,Climber,9.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
19,Actinidia henryi,,Climber,15.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
20,Actinidia holotricha,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
21,Actinidia hypoleuca,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
22,Actinidia kiusiana,,Climber,5.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
23,Actinidia kolomikta gagnepainii,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
24,Actinidia kwangsiensis,,Climber,3.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
25,Actinidia lanceolata,,Climber,20.0,5-9,,LMH,SN,M,3,0,,Actinidia kolomikta
26,Actinidia latifolia,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
27,Actinidia longicauda,,Climber,7.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
28,Actinidia maloides,,Climber,6.0,-,,LMH,SN,M,3,0,,Actinidia kolomikta
