,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Agave americana,"Agave, American century plant",Perennial,7.5,8-11,S,LM,N,DM,3,3,3,Agave palmeri
1,Agave cantala agave,Agave,Perennial,2.0,9-12,F,LMH,N,DM,2,0,4,Agave palmeri
2,Agave chrysantha,Golden-flowered Agave,Perennial,1.0,9-11,M,LMH,N,DM,2,1,2,Agave palmeri
3,Agave deserti,Desert Agave,Perennial,0.4,9-11,M,LMH,N,DM,3,0,3,Agave palmeri
4,Agave fourcroydes,Henequen,Perennial,1.8,10-12,M,LMH,N,DM,0,1,3,Agave palmeri
5,Agave lechuguilla,"Ixtle, Chihuahua",Perennial,0.6,10-12,M,LMH,N,DM,1,2,4,Agave palmeri
6,Agave murpheyi,"Hohokam Agave, Murphey agave",Perennial,1.0,8-12,S,LMH,N,DM,2,0,4,Agave palmeri
7,Agave parryi,"Century Plant, Parry's agave, Mescal",Perennial,0.5,9-11,S,LM,N,DM,3,1,2,Agave palmeri
8,Agave salmiana,"Pulque Agave, Giant Agave",Perennial,2.0,9-11,M,LMH,N,DM,3,0,2,Agave palmeri
9,Agave sisalana,Sisal,Perennial,2.0,9-11,F,LMH,SN,DM,2,2,4,Agave palmeri
10,Agave tequilana,"Blue Agave, Mescal, Tequila.",Perennial,2.0,10-12,M,LMH,N,D,4,0,3,Agave palmeri
11,Agave utahensis,Century Plant,Perennial,2.0,6-10,M,LM,N,DM,2,2,2,Agave palmeri
12,Agave utahensis discreta,Century Plant,Perennial,4.0,8-11,,LM,N,DM,3,1,2,Agave palmeri
13,Agave utahensis eborispina,Century Plant,Perennial,4.0,8-11,,LM,N,DM,3,1,2,Agave palmeri
