,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Amaranthus albus,Prostrate Pigweed,Annual,0.7,8-10,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
1,Amaranthus bidentata,,Annual,0.9,-,,LMH,N,M,2,1,1,Amaranthus hypochondriacus
2,Amaranthus blitoides,Mat Amaranth,Annual,0.2,6-10,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
3,Amaranthus blitum,"Slender Amaranth, Purple amaranth",Annual,1.0,4-8,,LMH,N,M,4,2,2,Amaranthus hypochondriacus
4,Amaranthus campestris,,Annual,0.0,-,,LMH,N,M,2,1,1,Amaranthus hypochondriacus
5,Amaranthus caudatus,Love Lies Bleeding,Annual,2.0,4-8,,LMH,N,DM,4,1,2,Amaranthus hypochondriacus
6,Amaranthus cruentus,"Purple Amaranth, Red amaranth",Annual,2.0,3-11,,LMH,N,M,4,2,2,Amaranthus hypochondriacus
7,Amaranthus diacanthus,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
8,Amaranthus dubius,Spleen Amaranth,Annual,1.0,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
9,Amaranthus frumentaceus,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
10,Amaranthus graecizans,"Spreading Pigweed, Mediterranean amaranth",Annual,0.5,0-0,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
11,Amaranthus hybridus,"Rough Pigweed, Slim amaranth",Annual,2.0,6-12,,LMH,N,M,4,1,1,Amaranthus hypochondriacus
12,Amaranthus mangostanus,,Annual,1.5,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
13,Amaranthus mitchellii,Boggabri Weed,Annual,0.5,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
14,Amaranthus pallidiflorus,,Annual,1.0,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
15,Amaranthus palmeri,Careless Weed,Annual,0.9,7-12,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
16,Amaranthus polygamus,,Annual,0.0,-,,LMH,N,M,2,1,1,Amaranthus hypochondriacus
17,Amaranthus polystachyus,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
18,Amaranthus powellii,Powell's Amaranth,Annual,1.8,6-11,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
19,Amaranthus quitensis,Ataco,Annual,1.0,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
20,Amaranthus retroflexus,"Pigweed, Redroot amaranth, Wild Beet",Annual,0.9,3-11,,LMH,N,M,3,2,2,Amaranthus hypochondriacus
21,Amaranthus spinosus,Spiny Amaranth,Annual,0.6,4-11,,LMH,N,M,2,3,1,Amaranthus hypochondriacus
22,Amaranthus standleyanus,Indehiscent Pigweed,Annual,0.7,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
23,Amaranthus tenuifolius,,Annual,0.0,-,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
24,Amaranthus thunbergii,"Thunberg's Pigweed, Thunberg's amaranthus",Annual,0.5,0-0,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
25,Amaranthus torreyi,Torrey's amaranthus,Annual,0.8,0-0,,LMH,N,M,2,0,1,Amaranthus hypochondriacus
26,Amaranthus tricolor,"Chinese Spinach, Joseph's-coat, Fountain Plant, Tampala , Summer Poinsettia",Annual,1.0,3-11,M,LMH,N,M,3,1,2,Amaranthus hypochondriacus
