,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Asparagus abyssinicus,,Perennial,0.0,-,,LMH,SN,DM,2,0,,Asparagus racemosus
1,Asparagus acutifolius,,Perennial,1.5,7-10,,LM,SN,DM,3,0,,Asparagus racemosus
2,Asparagus adscendens,,Shrub,0.0,-,,LMH,SN,M,2,1,,Asparagus racemosus
3,Asparagus albus,,Perennial,1.0,7-10,,LMH,SN,DM,1,0,,Asparagus racemosus
4,Asparagus aphyllus,,Perennial,1.0,-,,LMH,SN,DM,2,0,,Asparagus racemosus
5,Asparagus cochinchinensis,Chinese Asparagus,Perennial,1.5,6-9,,LMH,SN,M,3,3,2.0,Asparagus racemosus
6,Asparagus dauricus,,Perennial,0.6,-,,LM,N,DM,1,0,,Asparagus racemosus
7,Asparagus filicinus,Fern Asparagus,Perennial,0.7,7-10,,LMH,SN,M,2,1,,Asparagus racemosus
8,Asparagus maritimus,,Perennial,0.6,-,,LM,N,DM,1,0,,Asparagus racemosus
9,Asparagus officinalis,"Asparagus, Garden asparagus",Perennial,1.5,2-9,,LMH,SN,M,4,3,2.0,Asparagus racemosus
10,Asparagus sauveolens,,Perennial,1.0,-,,LMH,SN,M,1,0,,Asparagus racemosus
11,Asparagus schoberioides,,Perennial,1.0,-,,LMH,SN,M,2,1,,Asparagus racemosus
12,Asparagus setaceus,"Asparagus Fern, Common asparagus fern, Plumosa Fern",Climber,3.0,9-11,M,LMH,N,M,1,0,,Asparagus racemosus
13,Asparagus stipularis,,Perennial,0.0,-,,LMH,N,DM,1,0,,Asparagus racemosus
14,Asparagus tenuifolius,,Perennial,1.0,-,,LMH,N,DM,1,0,,Asparagus racemosus
15,Asparagus verticillatus,,Perennial,4.0,5-9,,LMH,SN,M,2,0,,Asparagus racemosus
16,Lotus tetragonolobus,"Asparagus Pea, Winged pea",Annual,0.3,0-0,,LMH,N,DM,3,0,,Asparagus racemosus
