,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Asparagus abyssinicus,,Perennial,0.0,-,,LMH,SN,DM,2,0,,Asparagus setaceus
1,Asparagus acutifolius,,Perennial,1.5,7-10,,LM,SN,DM,3,0,,Asparagus setaceus
2,Asparagus adscendens,,Shrub,0.0,-,,LMH,SN,M,2,1,,Asparagus setaceus
3,Asparagus albus,,Perennial,1.0,7-10,,LMH,SN,DM,1,0,,Asparagus setaceus
4,Asparagus aphyllus,,Perennial,1.0,-,,LMH,SN,DM,2,0,,Asparagus setaceus
5,Asparagus cochinchinensis,Chinese Asparagus,Perennial,1.5,6-9,,LMH,SN,M,3,3,2.0,Asparagus setaceus
6,Asparagus dauricus,,Perennial,0.6,-,,LM,N,DM,1,0,,Asparagus setaceus
7,Asparagus filicinus,Fern Asparagus,Perennial,0.7,7-10,,LMH,SN,M,2,1,,Asparagus setaceus
8,Asparagus maritimus,,Perennial,0.6,-,,LM,N,DM,1,0,,Asparagus setaceus
9,Asparagus officinalis,"Asparagus, Garden asparagus",Perennial,1.5,2-9,,LMH,SN,M,4,3,2.0,Asparagus setaceus
10,Asparagus racemosus,Shatavari,Perennial,7.0,8-11,,LMH,SN,DM,3,5,1.0,Asparagus setaceus
11,Asparagus sauveolens,,Perennial,1.0,-,,LMH,SN,M,1,0,,Asparagus setaceus
12,Asparagus schoberioides,,Perennial,1.0,-,,LMH,SN,M,2,1,,Asparagus setaceus
13,Asparagus stipularis,,Perennial,0.0,-,,LMH,N,DM,1,0,,Asparagus setaceus
14,Asparagus tenuifolius,,Perennial,1.0,-,,LMH,N,DM,1,0,,Asparagus setaceus
15,Asparagus verticillatus,,Perennial,4.0,5-9,,LMH,SN,M,2,0,,Asparagus setaceus
16,Lotus tetragonolobus,"Asparagus Pea, Winged pea",Annual,0.3,0-0,,LMH,N,DM,3,0,,Asparagus setaceus
