,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Astragalus adscendens,Persian Manna,Shrub,0.0,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
1,Astragalus boeticus,Swedish Coffee,Annual,0.6,7-10,,LM,N,D,2,0,,Astragalus aboriginorum
2,Astragalus brachycalyx,,Shrub,0.0,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
3,Astragalus canadensis,"Canadian Milkvetch, Shorttooth Canadian milkvetch, Morton's Canadian milkvetch",Perennial,1.0,7-10,,LM,N,D,3,2,3.0,Astragalus aboriginorum
4,Astragalus carduchorum,,Shrub,0.0,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
5,Astragalus chartostegius,,Shrub,0.0,-,,LM,N,D,1,0,,Astragalus aboriginorum
6,Astragalus chinensis,"Hua Huang Qi, Chinese milkvetch",Perennial,0.7,0-0,,LM,N,D,0,2,,Astragalus aboriginorum
7,Astragalus christianus,,Perennial,0.2,-,,LM,N,DM,2,0,,Astragalus aboriginorum
8,Astragalus complanatus,Bei Bian Huang Qi,Perennial,0.8,-,,LM,N,DM,0,2,,Astragalus aboriginorum
9,Astragalus crassicarpus,"Ground Plum, Groundplum milkvetch",Perennial,0.5,6-9,,LM,N,D,4,1,3.0,Astragalus aboriginorum
10,Astragalus creticus,,Shrub,0.0,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
11,Astragalus densissimus,,Shrub,0.5,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
12,Astragalus diphysus,"Specklepod Milkvetch, Freckled milkvetch",Perennial,0.0,0-0,,LM,N,D,3,0,,Astragalus aboriginorum
13,Astragalus echinus,,Perennial,0.5,-,,LM,N,D,1,0,,Astragalus aboriginorum
14,Astragalus edulis,Milkvetch,Annual,0.3,0-0,,LM,N,D,2,0,,Astragalus aboriginorum
15,Astragalus exscapus,,Perennial,0.3,4-8,,LM,N,D,0,1,2.0,Astragalus aboriginorum
16,Astragalus floridus,Duo Hua Huang Qi,Perennial,0.3,-,,LM,N,D,0,2,,Astragalus aboriginorum
17,Astragalus florulentus,,Shrub,0.0,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
18,Astragalus garbancillo,,Shrub,0.0,-,,LM,N,D,0,0,1.0,Astragalus aboriginorum
19,Astragalus globiflorus,,Shrub,0.2,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
20,Astragalus glycyphyllos,"Milk Vetch, Licorice milkvetch",Perennial,0.2,3-7,,LM,N,D,1,0,4.0,Astragalus aboriginorum
21,Astragalus gummifer,"Tragacanth, Gum tragacanth milkvetch",Shrub,0.3,7-10,,LM,N,D,2,3,2.0,Astragalus aboriginorum
22,Astragalus hamosus,European milkvetch,Annual,0.6,0-0,,LM,N,D,1,2,,Astragalus aboriginorum
23,Astragalus henryi,Qin Ling Huang Qi,Perennial,0.8,-,,LM,N,DM,1,0,,Astragalus aboriginorum
24,Astragalus hoantchy,Wu La Te Huang Qi,Perennial,0.4,-,,LM,N,DM,1,1,,Astragalus aboriginorum
25,Astragalus kurdicus,,Shrub,0.2,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
26,Astragalus leioclados,,Shrub,0.0,-,,LM,N,D,2,0,2.0,Astragalus aboriginorum
27,Astragalus massiliensis,,Shrub,0.3,5-9,,LM,N,D,3,0,3.0,Astragalus aboriginorum
28,Astragalus membranaceus,Huang Qi,Perennial,0.3,5-9,,LM,N,D,0,5,3.0,Astragalus aboriginorum
