,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Berberis aggregata,Salmon Barberry,Shrub,1.5,5-9,M,LMH,SN,DM,3,2,1.0,Berberis capillaris
1,Berberis amurensis,,Shrub,3.5,5-9,,LMH,SN,DM,2,2,2.0,Berberis capillaris
2,Berberis angulosa,Large-Flowered Barberry,Shrub,1.0,5-9,,LMH,SN,DM,3,2,1.0,Berberis capillaris
3,Berberis aristata,"Chitra, Indian Barberry or Tree Turmeric",Shrub,3.5,5-9,M,LMH,SN,DM,4,3,3.0,Berberis capillaris
4,Berberis asiatica,"Chutro, Rasanjan (Nep); marpyashi (Newa); Daruharidra, Darbi (Sans)",Shrub,3.5,7-10,M,LMH,FSN,DM,4,3,2.0,Berberis capillaris
5,Berberis buxifolia,Magellan Barberry,Shrub,2.5,4-8,,LMH,SN,DM,4,2,3.0,Berberis capillaris
6,Berberis calliantha,,Shrub,0.7,6-9,,LMH,SN,DM,2,2,,Berberis capillaris
7,Berberis canadensis,"Allegheny Barberry, American barberry",Shrub,1.8,4-8,M,LMH,SN,DM,3,2,1.0,Berberis capillaris
8,Berberis chengii,,Shrub,0.0,-,,LMH,SN,DM,1,2,1.0,Berberis capillaris
9,Berberis chinensis,,Shrub,0.0,5-9,,LMH,SN,M,1,2,1.0,Berberis capillaris
10,Berberis chitria,,Shrub,4.0,-,,LMH,SN,DM,2,2,1.0,Berberis capillaris
11,Berberis concinna,,Shrub,1.0,4-8,,LMH,SN,DM,2,2,1.0,Berberis capillaris
12,Berberis cooperi,,Shrub,1.5,4-8,,LMH,SN,M,3,2,1.0,Berberis capillaris
13,Berberis darwinii,"Darwin's Barberry, Darwin's berberis",Shrub,3.0,7-9,M,LMH,SN,M,4,2,3.0,Berberis capillaris
14,Berberis empetrifolia,,Shrub,0.3,6-9,,LMH,SN,DM,2,2,1.0,Berberis capillaris
15,Berberis everstiana,,Shrub,1.5,4-8,,LMH,SN,DM,2,2,1.0,Berberis capillaris
16,Berberis fendleri,Colorado Barberry,Shrub,1.5,5-9,,LMH,SN,DM,2,2,1.0,Berberis capillaris
17,Berberis flexuosa,,Shrub,0.0,-,,LMH,SN,DM,1,2,1.0,Berberis capillaris
18,Berberis gagnepainii,,Shrub,2.4,4-8,,LMH,SN,DM,2,2,3.0,Berberis capillaris
19,Berberis georgii,Barberry,Shrub,3.0,3-7,M,LMH,SN,DM,3,2,1.0,Berberis capillaris
20,Berberis heterophylla,,Shrub,1.5,7-10,,LMH,SN,DM,1,2,1.0,Berberis capillaris
21,Berberis jaeschkeana,,Shrub,0.8,-,,LMH,SN,DM,1,2,1.0,Berberis capillaris
22,Berberis koreana,"Korean Barberry, Barberry",Shrub,1.5,3-7,M,LMH,SN,DM,1,2,1.0,Berberis capillaris
23,Berberis lycium,,Shrub,3.0,5-9,M,LMH,SN,DM,3,3,1.0,Berberis capillaris
24,Berberis parisepala,,Shrub,3.0,5-9,,LMH,SN,DM,2,2,1.0,Berberis capillaris
25,Berberis rariflora,,Shrub,0.0,-,,LMH,SN,DM,2,2,1.0,Berberis capillaris
26,Berberis rubrostilla,,Shrub,1.5,5-9,,LMH,SN,DM,3,2,1.0,Berberis capillaris
27,Berberis ruscifolia,,Shrub,0.0,-,,LMH,SN,DM,2,2,1.0,Berberis capillaris
28,Berberis sherriffii,,Shrub,2.0,5-9,,LMH,SN,DM,1,2,1.0,Berberis capillaris
