,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Acorus calamus,Sweet Flag - Calamus,Perennial,1.0,4-11,M,LMH,N,WeWa,3,4,4,Calamus spp.
1,Calamus caesius,Rotan Sega,Climber,100.0,10-12,F,LMH,SN,M,2,0,4,Calamus spp.
2,Calamus manan,Rotan Manau,Climber,100.0,10-12,F,LMH,SN,M,0,0,4,Calamus spp.
3,Calamus ovoideus,Egg-shaped Rattan. Rotan Ovoid,Climber,70.0,10-12,F,LMH,SN,M,2,0,4,Calamus spp.
4,Calamus radiatus,Rotan Rays. Radial Leaf Rotan,Climber,50.0,11-12,F,LMH,SN,M,0,0,4,Calamus spp.
5,Calamus rotang,"Rattan, Rotang, Rattan Cane",Climber,25.0,11-12,F,LMH,SN,M,2,2,4,Calamus spp.
6,Dendrocalamus asper,"Giant Bamboo, Dragon bamboo, Sweet bamboo",Bamboo,15.0,10-12,F,LMH,N,M,4,0,3,Calamus spp.
7,Dendrocalamus brandesii,"Velvet Leaf Bamboo, Clumping Bamboo",Bamboo,25.0,9-10,F,LMH,N,M,3,0,4,Calamus spp.
8,Dendrocalamus giganteus,"Giant Bamboo, Bhalu bans, Dhungre bans",Bamboo,30.0,9-12,F,LMH,SN,M,2,1,4,Calamus spp.
9,Dendrocalamus hamiltonii,Tama Bamboo. Tufted bamboo,Bamboo,15.0,10-12,F,LMH,SN,M,3,0,3,Calamus spp.
10,Dendrocalamus hookeri,"Bhalu bans, Bhutan Green Bamboo",Bamboo,20.0,10-12,F,LMH,SN,M,2,0,3,Calamus spp.
11,Dendrocalamus latiflorus,"Sweet Bamboo, Sweet bamboo shoot, Taiwan giant bamboo",Bamboo,20.0,10-12,F,LMH,N,M,4,0,2,Calamus spp.
12,Dendrocalamus membranaceus,White bamboo,Bamboo,15.0,10-12,F,LMH,SN,DM,3,0,4,Calamus spp.
13,Dendrocalamus strictus,Male Bamboo. Calcutta Stricta or Bamboo,Bamboo,15.0,9-12,F,LMH,SN,DM,3,1,3,Calamus spp.
14,Himalayacalamus asper,,Bamboo,6.0,-,F,LMH,SN,M,0,0,2,Calamus spp.
15,Himalayacalamus brevinodus,,Bamboo,9.0,-,F,LMH,SN,M,2,0,2,Calamus spp.
16,Himalayacalamus cupreus,,Bamboo,6.0,-,F,LMH,SN,M,3,0,2,Calamus spp.
17,Himalayacalamus falconeri,,Bamboo,6.0,7-10,S,LMH,SN,M,3,0,2,Calamus spp.
18,Himalayacalamus fimbriatus,,Bamboo,6.0,-,F,LMH,SN,M,1,0,2,Calamus spp.
19,Himalayacalamus hookerianus,Padang,Bamboo,9.0,7-10,F,LMH,SN,M,2,0,3,Calamus spp.
20,Indocalamus latifolius,,Bamboo,1.0,7-10,,LMH,S,M,0,0,1,Calamus spp.
21,Thamnocalamus aristatus,,Bamboo,6.0,5-9,,LMH,SN,M,2,0,3,Calamus spp.
22,Thamnocalamus spathaceus,Umbrella Bamboo,Bamboo,4.0,5-9,,LMH,FSN,M,0,0,2,Calamus spp.
23,Thamnocalamus spathiflorus,,Bamboo,6.0,5-9,,LMH,SN,M,2,0,3,Calamus spp.
