,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Adenophora denticulata,,Perennial,0.5,6-9,,LM,N,M,2,0,,Campanula medium
1,Adenophora divaricata,,Perennial,1.0,-,,LM,N,M,2,0,,Campanula medium
2,Adenophora lamarkii,,Perennial,0.6,5-9,,LM,N,M,2,0,,Campanula medium
3,Adenophora latifolia,,Perennial,0.5,-,,LM,N,M,2,0,,Campanula medium
4,Adenophora liliifolia,"Ladybells, Lilyleaf",Perennial,0.5,3-8,M,LM,N,M,2,0,,Campanula medium
5,Adenophora nikoensis,,Perennial,0.3,5-9,,LM,N,M,2,0,,Campanula medium
6,Adenophora remotiflora,,Perennial,1.0,5-9,,LM,N,M,2,1,,Campanula medium
7,Adenophora stricta,"Sha Shen, Ladybells",Perennial,1.0,7-9,,LM,N,M,2,1,,Campanula medium
8,Adenophora triphylla,Nan Sha Shen,Perennial,1.0,6-9,,LM,N,M,2,1,,Campanula medium
9,Adenophora verticillata,,Perennial,1.0,6-9,,LM,SN,M,2,2,,Campanula medium
10,Agapanthus campanulatus,,Bulb,0.6,6-9,,LM,SN,M,0,1,,Campanula medium
11,Asyneuma pulchellum,,Perennial,0.0,-,,LMH,SN,M,0,0,2.0,Campanula medium
12,Asyneuma salignum,,Perennial,0.0,-,,LMH,SN,M,0,0,2.0,Campanula medium
13,Azorina vidalii,,Shrub,0.3,8-11,,LM,N,DM,3,0,0.0,Campanula medium
14,Campanula alliariifolia,Cornish Bellflower,Perennial,0.7,3-7,M,LM,SN,M,3,0,3.0,Campanula medium
15,Campanula carpatica,"Tussock Bellflower, Carpathian Bellflower, Carpathian Harebell",Perennial,0.3,3-8,S,LM,SN,M,3,0,2.0,Campanula medium
16,Campanula carpatica turbinata,,Perennial,0.3,3-7,,LM,N,M,3,0,2.0,Campanula medium
17,Campanula cochleariifolia,Fairies Thimbles,Perennial,0.2,5-9,,LM,N,M,4,0,,Campanula medium
18,Campanula edulis,,Perennial,0.2,-,,LM,SN,M,2,0,,Campanula medium
19,Campanula fenestrellata,Adriatic Bellflower,Perennial,0.2,5-9,M,LM,SN,M,4,0,,Campanula medium
20,Campanula garganica,Adriatic Bellflower,Perennial,0.2,4-8,,LM,N,M,3,0,,Campanula medium
21,Campanula glomerata,"Clustered Bellflower, Dane's blood, Clustered Bellflower",Perennial,1.0,4-9,M,LM,SN,M,4,0,,Campanula medium
22,Campanula lactiflora,Milky Bellflower,Perennial,1.0,4-8,,LM,SN,M,3,0,,Campanula medium
23,Campanula lasiocarpa,Mountain harebell,Perennial,0.2,4-8,,L,N,M,2,0,,Campanula medium
24,Campanula latifolia,"Large Campanula, Giant bellflower",Perennial,1.5,3-7,,LM,FS,DM,3,1,,Campanula medium
25,Campanula latiloba,,Perennial,0.9,3-7,M,LM,SN,M,3,0,3.0,Campanula medium
26,Campanula parryi,"Parry's Bellflower, Idaho bellflower",Perennial,0.3,4-8,F,LM,SN,M,1,1,1.0,Campanula medium
27,Campanula persicifolia,"Harebell, Peachleaf bellflower",Perennial,1.0,3-7,,LM,SN,M,4,0,,Campanula medium
28,Campanula portenschlagiana,Adria Bellflower,Perennial,0.3,3-7,F,LM,SN,M,3,0,3.0,Campanula medium
