,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Carex aquatilis,"Water sedge, Sitka sedge",Perennial,1.0,3-7,,LMH,SN,MWe,1,0,,Carex acutiformis
1,Carex arenaria,Sand Sedge,Perennial,0.5,6-9,F,LM,SN,DM,2,2,2.0,Carex acutiformis
2,Carex brizoides,,Perennial,0.0,-,,LMH,SN,MWe,1,0,1.0,Carex acutiformis
3,Carex buxbaumii,Buxbaum's sedge,Perennial,0.6,0-0,,LMH,SN,MWe,1,0,1.0,Carex acutiformis
4,Carex dispalata,,Perennial,0.0,-,,LMH,SN,MWe,1,0,1.0,Carex acutiformis
5,Carex disticha,Tworank sedge,Perennial,0.5,4-8,,LMH,SN,MWe,1,0,1.0,Carex acutiformis
6,Carex eburnea,Bristleleaf sedge,Perennial,0.3,2-8,S,LMH,FS,DM,0,0,3.0,Carex acutiformis
7,Carex elata,"Tufted Sedge, Golden Variegated Sedge, Tufted Sedge",Perennial,1.2,5-9,M,LMH,SN,MWe,2,0,3.0,Carex acutiformis
8,Carex hachijoensis,Japanese sedge,Perennial,0.3,5-9,M,LMH,FS,M,0,0,3.0,Carex acutiformis
9,Carex hirta,Hammer sedge,Perennial,0.5,5-9,,LMH,SN,MWe,1,1,1.0,Carex acutiformis
10,Carex kobomugi,Japanese sedge,Perennial,0.2,6-8,,LMH,SN,MWe,1,0,2.0,Carex acutiformis
11,Carex macrocephala,Largehead sedge,Perennial,0.2,0-0,,LMH,SN,MWe,1,0,,Carex acutiformis
12,Carex meyeriana,"Sedge, Wu la cao",Perennial,0.5,9-12,F,LMH,FSN,MWe,0,0,4.0,Carex acutiformis
13,Carex morrowii,"Iwashiba, Japanese Sedge",Perennial,0.6,5-9,F,LMH,FSN,M,0,0,4.0,Carex acutiformis
14,Carex nebrascensis,Nebraska sedge,Perennial,0.5,0-0,,LMH,SN,M,0,0,,Carex acutiformis
15,Carex nubigena,,Perennial,0.0,-,,LMH,SN,MWe,1,1,,Carex acutiformis
16,Carex paniculata,,Perennial,1.5,6-9,,LMH,SN,MWe,1,0,1.0,Carex acutiformis
17,Carex pensylvanica,Pennsylvania sedge,Perennial,0.3,4-8,M,LMH,FSN,DM,0,0,3.0,Carex acutiformis
18,Carex riparia,Great Pond Sedge,Perennial,1.5,5-9,F,LMH,SN,MWe,1,0,1.0,Carex acutiformis
19,Carex rostrata,"Beaded Sedge, Beaked sedge",Perennial,1.0,0-0,,LMH,SN,MWe,1,0,1.0,Carex acutiformis
20,Carex sylvatica,Wood sedge,Perennial,0.6,3-8,F,MH,SN,MWe,0,0,3.0,Carex acutiformis
