,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Carya aquatica,Water Hickory,Tree,20.0,5-9,S,LMH,N,M,1,0,2.0,Carya floridana
1,Carya buckleyi,Black hickory,Tree,10.0,5-9,S,LMH,N,M,2,0,2.0,Carya floridana
2,Carya carolinae-septentrionalis,"Southern Shagbark, Southern shagbark hickory",Tree,20.0,0-0,S,LMH,N,M,2,0,2.0,Carya floridana
3,Carya cathayensis,Chinese Hickory,Tree,18.0,5-9,S,LMH,N,M,3,0,3.0,Carya floridana
4,Carya cordiformis,"Bitternut, Bitternut hickory, Swamp Hickory",Tree,25.0,4-9,S,LMH,N,M,3,1,3.0,Carya floridana
5,Carya glabra,"Sweet Pignut, Pignut hickory, Broom Hickory, Pignut Hickory",Tree,30.0,4-9,S,LMH,N,DM,3,0,3.0,Carya floridana
6,Carya glabra megacarpa,Coastal Pignut Hickory,Tree,30.0,4-8,S,LMH,N,M,3,0,,Carya floridana
7,Carya hybrids,Hybrid and neohybrid hickories,Tree,40.0,4-11,M,LMH,N,DM,4,3,3.0,Carya floridana
8,Carya illinoinensis,Pecan,Tree,50.0,5-9,M,LMH,N,M,4,1,2.0,Carya floridana
9,Carya laciniosa,Shellbark Hickory,Tree,30.0,5-9,S,LMH,N,M,3,1,3.0,Carya floridana
10,Carya myristiciformis,Nutmeg Hickory,Tree,30.0,8-11,S,LMH,N,M,2,0,2.0,Carya floridana
11,Carya ovalis,Sweet Pignut,Tree,30.0,5-9,S,LMH,N,M,3,0,2.0,Carya floridana
12,Carya ovata,Shagbark Hickory,Tree,30.0,4-8,S,LMH,N,DM,3,1,4.0,Carya floridana
13,Carya pallida,Sand Hickory,Tree,30.0,5-9,S,LMH,N,M,3,1,2.0,Carya floridana
14,Carya texana,Black Hickory,Tree,15.0,5-9,S,LMH,N,M,2,0,2.0,Carya floridana
15,Carya tomentosa,"Mockernut,White Heart Hickory, Mockernut Hickory",Tree,30.0,4-9,M,LMH,N,DM,3,1,4.0,Carya floridana
16,Carya x laneyi,,Tree,20.0,4-8,S,LMH,N,M,3,0,2.0,Carya floridana
17,Platycarya strobilacea,,Tree,12.0,6-9,,LMH,SN,M,1,0,2.0,Carya floridana
18,Pterocarya fraxinifolia,Caucasian Wingnut,Tree,30.0,6-9,,MH,N,M,1,1,3.0,Carya floridana
19,Pterocarya rhoifolia,Japanese Wingnut,Tree,30.0,5-9,,MH,N,M,1,0,2.0,Carya floridana
20,Pterocarya stenoptera,Chinese wingnut,Tree,20.0,6-9,,MH,N,M,0,2,1.0,Carya floridana
