,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Ceanothus americanus,"New Jersey Tea, Wild Snowball",Shrub,1.2,4-9,F,LM,SN,DM,3,3,3,Ceanothus arboreus
1,Ceanothus cuneatus,"Buckbrush, Sedgeleaf buckbrush, Monterey ceanothus",Shrub,1.8,6-9,F,LM,SN,DM,2,1,2,Ceanothus arboreus
2,Ceanothus divergens,"Cropleaf Ceanothus, Calistoga ceanothus",Shrub,1.5,7-10,,LM,SN,DM,0,0,2,Ceanothus arboreus
3,Ceanothus fendleri,Fendler's Ceanothus,Shrub,2.0,4-8,F,LM,SN,DM,2,1,2,Ceanothus arboreus
4,Ceanothus impressus,Santa Barbara Ceanothus,Shrub,1.5,7-9,M,LM,SN,DM,0,0,2,Ceanothus arboreus
5,Ceanothus integerrimus,Deer Brush,Shrub,4.0,6-9,,LM,SN,DM,2,1,2,Ceanothus arboreus
6,Ceanothus maritimus,Maritime Ceanothus,Shrub,1.0,7-10,,LM,SN,DM,0,0,3,Ceanothus arboreus
7,Ceanothus ovatus,Smaller Red-Root,Shrub,1.0,4-8,,LM,SN,DM,2,1,2,Ceanothus arboreus
8,Ceanothus prostratus,"Squaw Carpet, Prostrate ceanothus",Shrub,0.1,6-9,,LM,SN,DM,0,0,3,Ceanothus arboreus
9,Ceanothus purpureus,Hollyleaf Ceanothus,Shrub,2.0,7-10,,LM,SN,DM,0,0,2,Ceanothus arboreus
10,Ceanothus sanguineus,"Oregon Tea Tree, Redstem ceanothus",Shrub,2.0,4-8,,LM,SN,DM,2,1,2,Ceanothus arboreus
11,Ceanothus species,,Shrub,2.0,5-9,,LMH,SN,DM,0,0,2,Ceanothus arboreus
12,Ceanothus thyrsiflorus,"Blue Brush, Blueblossom",Shrub,4.5,7-9,M,LM,SN,DM,0,0,2,Ceanothus arboreus
