,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Centaurea acaulis,,Perennial,0.0,-,,LMH,N,DM,0,0,1.0,Centaurea calcitrapa
1,Centaurea chamaerhaponticum,,,0.0,-,,LMH,N,DM,2,0,,Centaurea calcitrapa
2,Centaurea cyanus,"Cornflower, Garden cornflower, Blue Bottle, Cornflower",Annual,1.0,0-0,F,LMH,N,DM,2,2,2.0,Centaurea calcitrapa
3,Centaurea depressa,Iranian knapweed,Annual/Perennial,0.3,6-9,,LMH,N,DM,2,0,,Centaurea calcitrapa
4,Centaurea iberica,"Iberian Star Thistle, Iberian knapweed",Biennial,0.9,5-9,,LMH,N,DM,1,2,0.0,Centaurea calcitrapa
5,Centaurea jacea,Brown Knapweed,Perennial,0.6,5-9,,LMH,N,DM,1,1,0.0,Centaurea calcitrapa
6,Centaurea melitensis,Maltese Star Thistle,Annual,0.5,6-9,,LMH,N,DM,0,1,0.0,Centaurea calcitrapa
7,Centaurea montana,"Mountain Cornflower, Perennial cornflower, Mountain Bluet",Perennial,0.5,3-9,F,LMH,N,DM,0,2,3.0,Centaurea calcitrapa
8,Centaurea nigra,"Black Knapweed, Lesser knapweed",Perennial,0.6,4-8,,LMH,N,DM,1,2,0.0,Centaurea calcitrapa
9,Centaurea raphanina,,Perennial,0.0,-,,LMH,N,DM,1,0,,Centaurea calcitrapa
10,Centaurea scabiosa,Greater Knapweed,Perennial,0.9,4-8,,LMH,N,DM,0,2,,Centaurea calcitrapa
