,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Claytonia acutifolia,Bering Sea Spring Beauty,Perennial,0.2,-,,LM,N,M,3,0,,Claytonia virginica
1,Claytonia caroliniana,"Broad-Leaved Spring Beauty, Carolina springbeauty",Perennial,0.1,5-9,,LM,N,M,3,0,1.0,Claytonia virginica
2,Claytonia exigua,"Pale Spring Beauty, Serpentine springbeauty",Annual,0.1,0-0,,LMH,FSN,DM,2,0,,Claytonia virginica
3,Claytonia lanceolata,"Lanceleaf Spring Beauty, Idaho springbeauty, Pacific springbeauty, Peirson's springbeauty",Perennial,0.2,4-8,,LM,N,M,3,0,,Claytonia virginica
4,Claytonia megarhiza,Alpine Spring Beauty,Perennial,0.2,4-8,,LM,N,M,3,0,,Claytonia virginica
5,Claytonia perfoliata,Miner's Lettuce,Annual,0.2,6-10,,LMH,FSN,DM,4,1,2.0,Claytonia virginica
6,Claytonia scammaniana,"Scamman's Claytonia, Scamman's springbeauty",Perennial,0.2,0-0,,LM,N,M,2,0,,Claytonia virginica
7,Claytonia sibirica,"Pink Purslane, Siberian springbeauty",Annual/Perennial,0.2,3-7,,LMH,FSN,DM,4,1,3.0,Claytonia virginica
8,Claytonia tuberosa,Tuberous Spring Beauty,Perennial,0.2,4-8,,LM,N,M,3,0,,Claytonia virginica
9,Claytonia umbellata,Great Basin Spring Beauty,Perennial,0.2,-,,LM,N,M,2,0,,Claytonia virginica
