,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Coprosma areolata,,Shrub,5.0,8-11,,LM,SN,M,1,0,1,Coprosma acerosa
1,Coprosma atropurpurea,,Shrub,0.1,6-9,,LM,SN,M,1,0,1,Coprosma acerosa
2,Coprosma billardieri,Native Currant,Shrub,3.0,8-11,,LM,SN,M,1,0,1,Coprosma acerosa
3,Coprosma brunnea,,Shrub,0.1,7-10,,LM,SN,M,2,0,3,Coprosma acerosa
4,Coprosma foetidissima,,Shrub,5.0,8-11,,LM,SN,M,1,0,1,Coprosma acerosa
5,Coprosma grandifolia,,Shrub,5.0,8-11,,LM,SN,M,1,1,1,Coprosma acerosa
6,Coprosma hirtella,Rough Coprosma,Shrub,2.0,8-11,,LM,SN,M,1,0,1,Coprosma acerosa
7,Coprosma lucida,,Shrub,5.0,7-10,,LM,SN,M,2,0,1,Coprosma acerosa
8,Coprosma moorei,,Shrub,0.1,8-11,,LM,SN,M,1,0,1,Coprosma acerosa
9,Coprosma nitida,,Shrub,2.0,7-10,,LM,SN,M,2,0,1,Coprosma acerosa
10,Coprosma petriei,,Shrub,0.1,6-9,,LM,SN,M,1,0,3,Coprosma acerosa
11,Coprosma propinqua,,Shrub,6.0,6-9,,LM,SN,M,1,0,2,Coprosma acerosa
12,Coprosma pumila,,Shrub,0.1,6-9,,LM,SN,M,1,0,1,Coprosma acerosa
13,Coprosma repens,"Mirror Plant, Creeping mirrorplant",Shrub,2.0,8-11,,LM,SN,M,1,0,1,Coprosma acerosa
14,Coprosma rhamnoides,,Shrub,2.0,7-10,,LM,SN,M,1,0,1,Coprosma acerosa
15,Coprosma robusta,,Shrub,5.0,8-11,,LM,SN,M,1,1,1,Coprosma acerosa
16,Coprosma rotundifolia,,Shrub,2.4,8-11,,LM,SN,M,1,0,1,Coprosma acerosa
17,Coprosma rugosa,,Shrub,3.0,6-9,,LM,SN,M,1,0,2,Coprosma acerosa
18,Coprosma serrulata,,Shrub,0.6,7-10,,LM,SN,M,1,0,1,Coprosma acerosa
