,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Corydalis ambigua,,Perennial,0.2,5-9,,LM,S,M,1,3,,Corydalis pallida
1,Corydalis aurea,Scrambled Eggs,Annual/Biennial,0.5,5-9,,LM,S,M,0,2,,Corydalis pallida
2,Corydalis cava,,Perennial,0.2,5-9,,LM,S,M,0,3,,Corydalis pallida
3,Corydalis edulis,,Perennial,0.0,-,,LM,S,M,1,0,,Corydalis pallida
4,Corydalis falconeri,,Perennial,0.0,-,,LM,S,M,0,0,1.0,Corydalis pallida
5,Corydalis govaniana,,Perennial,0.0,-,,LM,SN,M,0,2,,Corydalis pallida
6,Corydalis incisa,Incised fumewort,Annual/Biennial,0.3,6-10,,LM,S,M,1,1,0.0,Corydalis pallida
7,Corydalis intermedia,,Perennial,0.2,-,,LM,S,M,0,1,,Corydalis pallida
8,Corydalis juncea,,Perennial,0.0,-,,LM,SN,M,1,0,,Corydalis pallida
9,Corydalis ochotensis,,Biennial,1.0,-,,LM,SN,M,1,0,,Corydalis pallida
10,Corydalis solida,"Fumewort, Spring fumewort",Perennial,0.2,5-9,,LM,S,M,1,3,,Corydalis pallida
11,Corydalis ternata,Three-Leaf Corydalis,Perennial,0.2,-,,LM,SN,M,0,2,,Corydalis pallida
12,Corydalis vaginans,,Annual/Biennial,0.0,4-8,,LM,SN,M,0,1,,Corydalis pallida
