,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Epifagus virginiana,Beechdrops,,0.0,0-0,,LMH,SN,M,0,0,,Fagus japonica
1,Fagus crenata,Japanese Beech,Tree,35.0,4-8,S,LM,FSN,DM,2,0,,Fagus japonica
2,Fagus grandifolia,American Beech,Tree,10.0,4-8,S,LM,FSN,DM,2,2,3.0,Fagus japonica
3,Fagus longipetiolata,,Tree,22.0,-,,LM,FSN,DM,2,0,,Fagus japonica
4,Fagus lucida,,Tree,15.0,5-9,,LM,FSN,DM,2,0,,Fagus japonica
5,Fagus orientalis,Oriental Beech,Tree,20.0,4-8,M,LM,FSN,DM,2,0,,Fagus japonica
6,Fagus sylvatica,"Beech, European beech, Common Beech",Tree,30.0,4-7,M,LMH,FSN,DM,4,2,4.0,Fagus japonica
7,Nothofagus betuloides,,Tree,20.0,6-9,F,LMH,N,M,0,0,2.0,Fagus japonica
8,Nothofagus cunninghamii,Myrtle Beech,Tree,55.0,8-11,F,LMH,N,M,0,0,2.0,Fagus japonica
9,Nothofagus fusca,Red Beech,Tree,35.0,8-11,F,LMH,N,M,0,0,3.0,Fagus japonica
10,Nothofagus menziesii,Silver Beech,Tree,20.0,8-11,F,LMH,N,M,0,0,3.0,Fagus japonica
11,Nothofagus obliqua,"Roblé, Roble beech",Tree,20.0,6-9,F,LMH,N,M,0,0,3.0,Fagus japonica
12,Nothofagus procera,Rauli,Tree,20.0,6-9,F,LMH,N,M,0,0,3.0,Fagus japonica
13,Nothofagus pumilio,Lenga,Tree,40.0,6-9,M,LMH,N,M,1,0,1.0,Fagus japonica
14,Nothofagus solanderi,Black Beech,Tree,30.0,7-10,F,LMH,N,M,0,0,2.0,Fagus japonica
