,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Gaultheria adenothrix,,Shrub,0.3,8-11,,LM,FS,M,3,0,4.0,Gaultheria x wisleyensis
1,Gaultheria antipoda,Snowberry,Shrub,1.2,8-11,,LM,FS,M,2,0,,Gaultheria x wisleyensis
2,Gaultheria appressa,White Waxberry,Shrub,2.0,-,,LM,SN,M,2,0,,Gaultheria x wisleyensis
3,Gaultheria cumingiana,,Shrub,3.0,9-11,,LM,S,M,2,2,,Gaultheria x wisleyensis
4,Gaultheria depressa,Mountain Snowberry,Shrub,0.1,8-11,,LM,SN,M,2,0,3.0,Gaultheria x wisleyensis
5,Gaultheria fragrantissima,Fragrant Wintergreen,Shrub,1.0,8-11,,LM,FS,M,2,2,2.0,Gaultheria x wisleyensis
6,Gaultheria griffithianum,,Shrub,1.8,-,,LM,SN,M,2,0,,Gaultheria x wisleyensis
7,Gaultheria hispida,Snowberry,Shrub,0.9,8-11,,LM,S,M,2,1,,Gaultheria x wisleyensis
8,Gaultheria hispidula,Creeping Snowberry,Shrub,0.1,5-9,F,LM,S,MWe,4,1,4.0,Gaultheria x wisleyensis
9,Gaultheria humifusa,"Alpine Wintergreen, Alpine spicywintergreen",Shrub,0.1,6-9,,LM,SN,M,4,0,3.0,Gaultheria x wisleyensis
10,Gaultheria insana,,Shrub,0.5,5-9,,LMH,SN,M,1,1,,Gaultheria x wisleyensis
11,Gaultheria japonica,Creeping Snowberry,Shrub,0.1,5-9,F,LM,S,MWe,4,1,3.0,Gaultheria x wisleyensis
12,Gaultheria macrostigma,,Shrub,0.5,7-10,,LM,S,M,2,0,3.0,Gaultheria x wisleyensis
13,Gaultheria mucronata,Prickly heath,Shrub,1.5,5-9,,LM,SN,M,4,0,3.0,Gaultheria x wisleyensis
14,Gaultheria myrsinoides,,Shrub,0.2,8-11,,LM,SN,M,2,0,3.0,Gaultheria x wisleyensis
15,Gaultheria nummularioides,,Shrub,0.1,8-11,,LM,SN,M,2,0,3.0,Gaultheria x wisleyensis
16,Gaultheria ovatifolia,"Mountain Checkerberry, Western teaberry",Shrub,0.2,5-9,,LM,FS,M,3,0,3.0,Gaultheria x wisleyensis
17,Gaultheria procumbens,"Checkerberry, Eastern teaberry, Teaberry, Creeping Wintergreen",Shrub,0.2,3-6,M,LM,FS,DM,4,3,4.0,Gaultheria x wisleyensis
18,Gaultheria pumila,,Shrub,0.1,6-9,S,LM,SN,M,2,0,,Gaultheria x wisleyensis
19,Gaultheria pumila leucocarpa,,Shrub,0.2,6-9,,LM,SN,M,2,0,3.0,Gaultheria x wisleyensis
20,Gaultheria pyroliifolia,,Shrub,0.2,5-9,S,LM,FS,M,2,0,,Gaultheria x wisleyensis
21,Gaultheria pyroloides,,Shrub,0.3,5-9,,LM,S,M,3,0,,Gaultheria x wisleyensis
22,Gaultheria rigida,,Shrub,0.0,-,,LM,FS,M,1,0,,Gaultheria x wisleyensis
23,Gaultheria sclelophylla,,Shrub,0.0,-,,LM,FS,M,2,0,,Gaultheria x wisleyensis
24,Gaultheria shallon,"Shallon, Salal",Shrub,1.2,6-9,M,LM,FSN,DM,5,2,3.0,Gaultheria x wisleyensis
