,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Clerodendrum bungei,"Glory Flower, Rose glorybower, Cashmere Bouquet, Mexican Hydrangea, Glory Bower",Shrub,2.0,7-9,M,LMH,N,M,0,1,0.0,Hydrangea serrata
1,Deinanthe bifida,,Perennial,0.4,6-9,S,LM,FS,M,1,0,,Hydrangea serrata
2,Deutzia scabra,"Fuzzy pride-of-rochester, Deutzia",Shrub,3.0,5-8,M,LMH,SN,M,1,0,2.0,Hydrangea serrata
3,Dichroa febrifuga,"Chinese Quinine, Dichroa",Shrub,2.0,8-11,M,LMH,SN,M,0,3,1.0,Hydrangea serrata
4,Hydrangea anomala,Hydrangea,Climber,12.0,4-8,F,LMH,FSN,M,3,1,3.0,Hydrangea serrata
5,Hydrangea arborescens,"Seven Barks, Wild hydrangea, Ashy Hydrangea, Snowhill Hydrangea, Smooth Hydrangea",Shrub,3.0,4-9,M,LMH,SN,M,1,3,,Hydrangea serrata
6,Hydrangea aspera,Hydrangea,Shrub,4.0,7-9,M,LMH,SN,DM,1,0,,Hydrangea serrata
7,Hydrangea hirta,,Shrub,1.0,6-9,,LMH,SN,M,1,0,,Hydrangea serrata
8,Hydrangea macrophylla,"French hydrangea , Florist's Hydrangea, Bigleaf Hydrangea",Shrub,3.0,5-9,M,LMH,SN,M,3,2,3.0,Hydrangea serrata
9,Hydrangea paniculata,"Panicled hydrangea, Hybrid Hydrangea, PeeGee Hydrangea, Panicle Hydrangea",Shrub,4.0,3-8,F,LMH,SN,MWe,1,2,2.0,Hydrangea serrata
10,Hydrangea serrata amagiana,,Shrub,2.0,5-9,,LMH,SN,M,4,0,2.0,Hydrangea serrata
11,Hydrangea serrata thunbergii,"Tea of heaven, Ama-tsja,",Shrub,1.5,5-9,,LMH,SN,M,3,0,2.0,Hydrangea serrata
12,Philadelphus coronarius,"Mock Orange, Sweet mock orange",Shrub,4.0,4-8,F,LMH,SN,M,0,0,1.0,Hydrangea serrata
13,Philadelphus delavayi,,Shrub,4.0,5-9,,LMH,SN,M,0,0,1.0,Hydrangea serrata
14,Philadelphus lewisii,"Mock Orange, Lewis' mock orange",Shrub,3.6,4-8,,LMH,SN,M,0,1,3.0,Hydrangea serrata
15,Philadelphus microphyllus,Littleleaf Mock Orange,Shrub,1.2,5-9,,LMH,SN,DM,1,0,1.0,Hydrangea serrata
16,Philadelphus pubescens,Hoary mock orange,Shrub,5.0,5-9,,LMH,SN,M,0,0,1.0,Hydrangea serrata
17,Philadelphus purpurascens,,Shrub,4.0,5-9,,LMH,SN,DM,0,0,1.0,Hydrangea serrata
18,Philadelphus x virginalis,Mock Orange,Shrub,3.0,5-8,M,LMH,SN,M,0,0,1.0,Hydrangea serrata
19,Platycrater arguta,,Shrub,1.0,7-10,,LMH,S,M,1,0,3.0,Hydrangea serrata
20,Schizophragma hydrangeoides,Japanese Hydrangea Vine,Climber,12.0,5-8,S,LMH,FSN,M,1,0,3.0,Hydrangea serrata
