,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Hypericum androsaemum,"Tutsan, Sweet-amber, St. Johnswort",Shrub,1.0,5-10,F,LMH,SN,DM,0,1,3.0,Hypericum monogynum
1,Hypericum ascyron,Great Saint John's Wort,Perennial,1.5,3-7,,LMH,SN,M,1,2,,Hypericum monogynum
2,Hypericum attenuatum,,Perennial,0.6,-,,LMH,SN,DM,1,0,,Hypericum monogynum
3,Hypericum bellum,,Shrub,1.0,5-9,,LMH,SN,M,0,1,2.0,Hypericum monogynum
4,Hypericum calycinum,"Rose Of Sharon, Aaron's beard, Creeping Aron's Beard St. Johnswort",Shrub,0.3,5-10,F,LMH,FSN,DM,0,0,3.0,Hypericum monogynum
5,Hypericum erectum,,Perennial,0.6,5-9,,LMH,SN,M,1,1,,Hypericum monogynum
6,Hypericum forrestii,,Shrub,2.0,4-8,,LMH,SN,M,0,0,2.0,Hypericum monogynum
7,Hypericum hypericoides,St. Andrews Cross,Shrub,1.2,5-9,,LM,SN,DM,0,2,,Hypericum monogynum
8,Hypericum japonicum,Matted St. John's Wort,Annual/Perennial,0.5,-,,LMH,SN,MWe,0,2,,Hypericum monogynum
9,Hypericum kamtschaticum,,Perennial,0.3,-,,LMH,SN,M,1,0,,Hypericum monogynum
10,Hypericum patulum,Goldencup St. Johnswort,Shrub,1.0,6-7,M,LMH,SN,M,0,1,3.0,Hypericum monogynum
11,Hypericum perforatum,"St. John's Wort, Common St. Johnswort",Perennial,0.9,3-10,,LMH,SN,DM,2,4,2.0,Hypericum monogynum
