,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Cardamine impatiens,Narrowleaf bittercress,Annual/Biennial,0.6,4-8,,LMH,SN,MWe,2,1,0.0,Impatiens glandulifera
1,Impatiens aurella,Paleyellow touch-me-not,Annual,0.0,0-0,,LMH,SN,M,2,2,2.0,Impatiens glandulifera
2,Impatiens balsamina,"Rose Balsam, Spotted snapweed, Touch-Me-Not, Garden Balsam",Annual,0.6,0-0,M,LMH,SN,M,2,2,2.0,Impatiens glandulifera
3,Impatiens capensis,Jewelweed,Annual,1.2,-,F,LMH,SN,M,3,2,2.0,Impatiens glandulifera
4,Impatiens ecalcarata,,Annual,0.0,-,,LMH,SN,M,2,2,2.0,Impatiens glandulifera
5,Impatiens edgeworthii,,Annual,0.6,-,,LMH,SN,M,0,0,1.0,Impatiens glandulifera
6,Impatiens noli-tangere,Touch-Me-Not,Annual,1.0,5-9,,LMH,SN,M,3,2,,Impatiens glandulifera
7,Impatiens occidentalis,,Annual,0.0,-,,LMH,SN,M,3,2,2.0,Impatiens glandulifera
8,Impatiens pallida,"Pale Jewelweed, Pale touch-me-not",Annual,1.5,7-10,,LMH,SN,M,3,3,2.0,Impatiens glandulifera
9,Impatiens parviflora,Smallflower touchmenot,Annual,1.0,0-0,,LMH,SN,M,2,2,2.0,Impatiens glandulifera
10,Impatiens sulcata,,Annual,1.5,-,,LMH,SN,M,2,0,,Impatiens glandulifera
11,Impatiens textori,,Annual,0.6,-,,LMH,SN,MWe,1,0,,Impatiens glandulifera
