,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Adenophora divaricata,,Perennial,1.0,-,,LM,N,M,2,0,,Iva axillaris
1,Adonis aestivalis,"Pheasant's Eye, Summer pheasant's eye",Annual,0.3,5-9,,LMH,SN,M,0,1,,Iva axillaris
2,Ajuga iva,Herb Ivy,Perennial,0.0,-,,LMH,SN,M,0,1,,Iva axillaris
3,Allium sativum,"Garlic, Cultivated garlic",Bulb,0.6,7-10,,LM,N,DM,5,5,4.0,Iva axillaris
4,Angelica decursiva,,Perennial,1.5,-,,LMH,SN,M,2,2,,Iva axillaris
5,Asclepias sullivantii,Prairie milkweed,Perennial,1.2,0-0,,L,SN,DM,0,0,3.0,Iva axillaris
6,Avena sativa,"Oats, Common oat",Annual,0.9,0-0,,LMH,N,DM,3,3,4.0,Iva axillaris
7,Camelina sativa,Gold Of Pleasure,Annual,0.6,6-9,,LMH,SN,DM,3,0,2.0,Iva axillaris
8,Cannabis sativa,"Hemp, Marijuana",Annual,2.5,8-11,,LMH,N,M,4,4,4.0,Iva axillaris
9,Carpesium divaricatum,,Perennial,1.0,-,,LMH,SN,M,1,2,,Iva axillaris
10,Castanea sativa,"Sweet Chestnut, European chestnut",Tree,30.0,5-7,M,LMH,N,DM,5,2,5.0,Iva axillaris
11,Cotoneaster divaricatus,Spreading Cotoneaster,Shrub,2.0,4-8,F,LMH,SN,DM,0,0,3.0,Iva axillaris
12,Crataegus aestivalis,"Eastern Mayhaw, May hawthorn, Mayhaw, Apple Hawthorn",Shrub,9.0,6-11,M,LMH,SN,MWe,3,2,5.0,Iva axillaris
13,Crataegus festiva,,Shrub,3.0,6-9,,LMH,SN,MWe,5,2,2.0,Iva axillaris
14,Eleutherococcus divaricatus,,Shrub,3.5,5-9,,LMH,SN,M,2,0,,Iva axillaris
15,Eruca vesicaria sativa,Rocket,Annual,0.6,6-9,F,LMH,SN,DM,4,1,2.0,Iva axillaris
16,Eurybia divaricata,White wood aster,Perennial,0.9,4-8,F,LMH,FSN,DM,2,0,2.0,Iva axillaris
17,Galanthus nivalis,"Snowdrop, Common Snowdrop",Bulb,0.2,3-9,M,MH,S,M,0,1,,Iva axillaris
18,Geum rivale,"Water Avens, Purple avens",Perennial,0.3,3-7,,LMH,SN,MWe,3,2,1.0,Iva axillaris
19,Glycyrrhiza glabra,"Liquorice, Cultivated licorice",Perennial,1.2,7-10,,LM,SN,M,4,4,4.0,Iva axillaris
20,Hosta tardiva,Nankai-Giboshi,Perennial,0.5,-,,LMH,SN,DM,2,0,,Iva axillaris
21,Iva xanthifolia,Giant Sumpweed,Annual,1.0,0-0,,LMH,SN,M,0,1,1.0,Iva axillaris
22,Lactuca sativa,"Lettuce, Garden lettuce",Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,1.0,Iva axillaris
23,Lactuca sativa angustana,Celtuce,Annual/Biennial,0.6,5-9,,LM,SN,M,3,3,2.0,Iva axillaris
24,Lactuca sativa capitata,Cabbage Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Iva axillaris
25,Lactuca sativa crispa,Cutting Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Iva axillaris
26,Lactuca sativa longifolia,Cos Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Iva axillaris
27,Lewisia rediviva,Bitter-Root,Perennial,0.1,4-8,,LM,N,M,2,2,,Iva axillaris
28,Madia sativa,"Chile Tarweed, Coast tarweed",Annual,0.8,0-0,,LMH,N,M,3,0,2.0,Iva axillaris
