,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Juglans ailanthifolia,Japanese Walnut,Tree,20.0,4-8,,LMH,N,M,3,1,5,Juglans regia
1,Juglans ailanthifolia cordiformis,Heartseed Walnut,Tree,20.0,4-8,M,LMH,N,M,4,1,4,Juglans regia
2,Juglans californica,"California Walnut, Southern California walnut",Tree,6.0,7-10,M,LMH,N,M,2,1,2,Juglans regia
3,Juglans cathayensis,Chinese Walnut,Tree,20.0,4-8,,LMH,N,M,3,0,1,Juglans regia
4,Juglans cinerea,"Butternut - White Walnut, Butternut",Tree,25.0,3-7,M,LMH,N,M,3,3,3,Juglans regia
5,Juglans hindsii,"Hind's Black Walnut, Northern California walnut, Paradox hybrid walnut",Tree,15.0,8-9,M,LMH,N,M,3,0,3,Juglans regia
6,Juglans intermedia,"Hind's Black Walnut, Northern California walnut, Paradox hybrid walnuH",Tree,30.0,4-8,,LMH,N,M,3,0,1,Juglans regia
7,Juglans major,Arizona Walnut,Tree,15.0,8-11,F,LMH,N,M,2,0,2,Juglans regia
8,Juglans mandschurica,Manchurian Walnut,Tree,20.0,4-8,,LMH,N,M,3,1,4,Juglans regia
9,Juglans microcarpa,"Texas Walnut, Little walnut, Stewart's little walnut",Tree,10.0,5-9,,LMH,N,M,2,0,3,Juglans regia
10,Juglans neotropica,Andean Walnut,Tree,25.0,10-12,S,LMH,N,M,3,2,4,Juglans regia
11,Juglans nigra,Black Walnut,Tree,30.0,4-9,F,LMH,N,M,3,3,4,Juglans regia
12,Juglans olanchana,"Olancho walnut, Central American walnut",Tree,45.0,10-12,M,LMH,SN,MWe,2,0,3,Juglans regia
13,Juglans regia fallax,Walnut,Tree,30.0,4-8,,LMH,N,M,3,0,1,Juglans regia
14,Juglans regia kamaonia,Walnut,Tree,30.0,4-8,,LMH,N,M,3,3,3,Juglans regia
15,Juglans sinensis,,Tree,20.0,-,,LMH,N,M,3,1,1,Juglans regia
