,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Lactuca biennis,Tall Blue Lettuce,,0.0,-,,LMH,SN,M,0,1,,Lactuca canadensis
1,Lactuca capensis,,Perennial,0.5,-,,LM,SN,M,1,2,,Lactuca canadensis
2,Lactuca debilis,,Perennial,0.0,-,,LM,SN,M,3,2,,Lactuca canadensis
3,Lactuca formosana,,,0.0,-,,LM,SN,M,1,2,,Lactuca canadensis
4,Lactuca indica,Indian Lettuce,Perennial,1.2,-,,LM,SN,M,3,2,,Lactuca canadensis
5,Lactuca indica dracoglossa,,Annual/Biennial,1.0,-,,LM,SN,M,2,2,,Lactuca canadensis
6,Lactuca indica laciniata,,Perennial,1.2,-,,LM,SN,M,3,2,,Lactuca canadensis
7,Lactuca ludoviciana,"Western Wild Lettuce, Biannual lettuce",Biennial,1.2,0-0,,LM,SN,M,2,2,,Lactuca canadensis
8,Lactuca perennis,Perennial Lettuce,Perennial,0.6,5-9,,LM,N,DM,3,2,,Lactuca canadensis
9,Lactuca pulchella,Blue Lettuce,Perennial,1.0,-,,LM,SN,M,2,2,,Lactuca canadensis
10,Lactuca quercina,Wild Lettuce,Annual/Biennial,1.0,-,,LM,SN,M,2,3,,Lactuca canadensis
11,Lactuca raddeana,,Annual/Biennial,0.6,-,,LM,SN,M,2,2,,Lactuca canadensis
12,Lactuca sativa,"Lettuce, Garden lettuce",Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,1.0,Lactuca canadensis
13,Lactuca sativa angustana,Celtuce,Annual/Biennial,0.6,5-9,,LM,SN,M,3,3,2.0,Lactuca canadensis
14,Lactuca sativa capitata,Cabbage Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Lactuca canadensis
15,Lactuca sativa crispa,Cutting Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Lactuca canadensis
16,Lactuca sativa longifolia,Cos Lettuce,Annual/Biennial,0.9,5-9,,LM,SN,M,3,3,2.0,Lactuca canadensis
17,Lactuca serriola,Prickly Lettuce,Biennial,1.5,6-9,,LM,N,M,2,3,2.0,Lactuca canadensis
18,Lactuca sibirica,Prickly lettuce,Perennial,1.0,0-0,,LM,SN,M,2,2,,Lactuca canadensis
19,Lactuca triangulata,,Biennial/Perennial,1.0,-,,LM,SN,M,1,2,,Lactuca canadensis
