,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Akebia quinata,"Akebia, Chocolate vine, Fiveleaf Akebia, Chocolate Vine",Climber,12.0,4-9,F,LMH,FSN,M,4,2,3.0,Lardizabala biternata
1,Akebia trifoliata,"Akebia, Threeleaf Akebia",Climber,9.0,5-8,F,LMH,FSN,M,4,2,2.0,Lardizabala biternata
2,Akebia x pentaphylla,Five Leaved Akebia,Climber,9.0,4-8,,LMH,FSN,M,4,0,2.0,Lardizabala biternata
3,Decaisnea fargesii,Blue Sausage Fruit,Shrub,4.0,4-8,M,LMH,SN,M,3,0,0.0,Lardizabala biternata
4,Decaisnea insignis,,Shrub,3.5,7-10,,LMH,N,M,2,0,,Lardizabala biternata
5,Holboellia angustifolia,,Climber,0.0,7-10,,LMH,FSN,M,2,1,,Lardizabala biternata
6,Holboellia coriacea,Sausage Vine,Climber,7.0,8-11,F,LMH,FSN,M,2,0,,Lardizabala biternata
7,Holboellia grandiflora,,Climber,0.0,8-11,,LMH,FSN,M,2,0,,Lardizabala biternata
8,Holboellia latifolia,,Climber,4.0,8-11,,LMH,FSN,M,3,0,,Lardizabala biternata
9,Sinofranchetia chinensis,,Climber,15.0,5-9,F,LMH,SN,M,2,0,,Lardizabala biternata
