,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Lathyrus aphaca,Yellow-Flowered Pea,Annual,0.9,-,,LMH,N,DM,1,1,,Lathyrus alatus
1,Lathyrus cicera,"Chickling Vetch, Red pea",Annual,0.0,0-0,,LMH,N,M,1,0,,Lathyrus alatus
2,Lathyrus davidii,,Perennial,1.2,5-9,,LMH,SN,M,1,0,,Lathyrus alatus
3,Lathyrus japonicus,"Beach Pea, Smallflower beach pea",Perennial,0.6,3-7,,LMH,N,DM,2,0,,Lathyrus alatus
4,Lathyrus japonicus maritimus,Beach Pea,Perennial,0.6,3-7,,LMH,N,DM,2,0,3.0,Lathyrus alatus
5,Lathyrus latifolius,"Perennial Sweet Pea, Perennial pea",Perennial Climber,2.0,5-9,F,LMH,SN,DM,1,0,2.0,Lathyrus alatus
6,Lathyrus linifolius montanus,Bitter Vetch,Perennial,0.6,5-9,,LMH,SN,M,2,0,3.0,Lathyrus alatus
7,Lathyrus nervosus,Lord Anson's Pea,Perennial Climber,0.5,8-11,,LMH,N,M,2,0,,Lathyrus alatus
8,Lathyrus ochroleucas,Cream Peavine,Perennial,1.0,-,,LMH,SN,M,1,1,,Lathyrus alatus
9,Lathyrus ochrus,Cyprus Vetch,Annual,0.6,-,,LMH,N,DM,1,0,,Lathyrus alatus
10,Lathyrus odoratus,"Sweet Pea, Wild Pea,Vetchling",Annual Climber,2.0,2-11,F,LMH,SN,M,1,0,3.0,Lathyrus alatus
11,Lathyrus ornatus,Bush Vetchling,Perennial,0.3,3-7,,LMH,N,DM,1,1,,Lathyrus alatus
12,Lathyrus palustris,"Slenderstem Peavine, Marsh pea",Perennial Climber,1.2,4-8,,LMH,N,MWe,1,0,,Lathyrus alatus
13,Lathyrus polymorphus,"Manystem Peavine, Hoary pea",Perennial,0.4,0-0,,LMH,N,M,1,0,,Lathyrus alatus
14,Lathyrus pratensis,Meadow Vetchling,Perennial,1.2,4-8,,LMH,N,MWe,0,1,1.0,Lathyrus alatus
15,Lathyrus quinquenervius,,Perennial,0.6,-,,LMH,N,MWe,1,0,,Lathyrus alatus
16,Lathyrus sativus,"Chickling Pea, White pea",Annual,0.6,0-0,,LMH,N,M,2,1,3.0,Lathyrus alatus
17,Lathyrus sylvestris,"Flat pea, Wood pea",Perennial Climber,1.5,6-9,F,LMH,SN,M,0,0,3.0,Lathyrus alatus
