,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Morus alba,"White Mulberry, Common Mulberry,",Tree,18.0,4-10,M,LMH,SN,M,4,3,4.0,Morus rubra
1,Morus alba multicaulis,White Mulberry,Tree,18.0,4-8,,LMH,SN,M,4,3,2.0,Morus rubra
2,Morus australis,"Korean Mulberry, Aino Mulberry",Tree,7.5,6-9,F,LMH,SN,M,2,2,1.0,Morus rubra
3,Morus bombycis,Kuwa,Tree,8.0,5-9,,LMH,SN,M,2,2,1.0,Morus rubra
4,Morus cathayana,Hua Sang,Tree,15.0,5-9,,LMH,SN,M,2,0,,Morus rubra
5,Morus macroura,Himalayan Mulberry,Tree,10.0,7-10,,LMH,SN,M,2,1,2.0,Morus rubra
6,Morus mesozygia,African mulberry,Tree,30.0,10-12,F,LMH,N,M,2,3,4.0,Morus rubra
7,Morus microphylla,Texas Mulberry,Tree,6.0,5-9,,LMH,SN,M,2,0,2.0,Morus rubra
8,Morus mongolica,Mongolian Mulberry,Tree,7.5,4-8,,LMH,SN,M,2,1,2.0,Morus rubra
9,Morus nigra,Black Mulberry,Tree,10.0,5-10,S,LMH,SN,M,5,3,3.0,Morus rubra
10,Morus serrata,Himalayan Mulberry,Tree,20.0,-,,LMH,SN,M,2,1,2.0,Morus rubra
11,Morus species,Mulberry,Tree,10.0,0-0,M,LMH,SN,M,4,0,4.0,Morus rubra
