,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Comptonia peregrina,Sweet Fern,Shrub,1.5,3-6,M,LM,SN,DM,3,3,3.0,Myrica californica
1,Comptonia peregrina asplenifolia,Sweet Fern,Shrub,1.2,4-8,,LM,SN,DM,3,3,3.0,Myrica californica
2,Melaleuca leucadendra,"Paperbark, Weeping Paperbark",Tree,30.0,10-12,F,LMH,N,M,2,4,3.0,Myrica californica
3,Myrica cerifera,"Wax Myrtle - Bayberry Wild Cinnamon, Southern Bayberry, Wax Myrtle, Southern Wax Myrtle",Shrub,9.0,7-11,F,LMH,SN,M,3,3,4.0,Myrica californica
4,Myrica gale,"Bog Myrtle, Sweetgale",Shrub,2.0,2-9,,LMH,SN,MWe,2,2,4.0,Myrica californica
5,Myrica heterophylla,Bayberry,Shrub,3.0,5-9,,LMH,SN,DM,3,2,3.0,Myrica californica
6,Myrica nagi,Box Myrtle,Tree,12.0,-,,LMH,SN,M,2,3,3.0,Myrica californica
7,Myrica pensylvanica,Northern Bayberry,Shrub,3.0,2-9,,LMH,SN,DM,3,1,3.0,Myrica californica
8,Myrica rubra,Chinese Bayberry,Shrub,15.0,9-11,,LMH,SN,M,2,2,3.0,Myrica californica
9,Myricaria elegans,,Shrub,3.5,-,,LMH,N,M,0,1,1.0,Myrica californica
10,Myricaria germanica,,Shrub,2.0,5-9,,LMH,N,M,0,1,1.0,Myrica californica
