,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Cylindropuntia spp.,Cholla,Perennial,2.0,8-12,S,LMH,SN,D,3,0,4,Opuntia dillenii
1,Opuntia compressa,"Eastern Prickly Pear, Prickly Pear Cactus",Perennial,0.2,8-10,F,LM,N,D,3,1,2,Opuntia dillenii
2,Opuntia erinacea,Mojave Prickly Pear,Perennial,0.5,8-11,,LM,N,D,2,0,2,Opuntia dillenii
3,Opuntia ficus-indica,"Prickly Pear, Barbary fig",Perennial,5.0,8-11,,LM,N,D,3,2,3,Opuntia dillenii
4,Opuntia fragilis,"Prickly Pear, Brittle pricklypear",Perennial,0.1,7-10,,LM,N,D,2,1,2,Opuntia dillenii
5,Opuntia howeyi,,Perennial,0.0,-,,LM,N,D,2,0,2,Opuntia dillenii
6,Opuntia imbricata,Tree Chola,Perennial,3.0,8-11,,LM,N,D,2,0,2,Opuntia dillenii
7,Opuntia littoralis,Western Prickly Pear,Perennial,0.6,-,,LM,N,D,2,0,2,Opuntia dillenii
8,Opuntia macrorhiza,Twist-Spine Prickly Pear,Perennial,0.1,8-11,,LM,N,D,2,0,2,Opuntia dillenii
9,Opuntia microdasys,"Bunny Ears, Angel's-wings",Perennial,0.6,7-10,,LM,N,D,2,0,2,Opuntia dillenii
10,Opuntia phaeacantha,"Bastard Fig, Tulip pricklypear",Perennial,0.5,8-11,,LM,N,D,2,1,2,Opuntia dillenii
11,Opuntia polyacantha,"Plains Prickly Pear, El Paso pricklypear, Grizzlybear pricklypear, Navajo Bridge pricklypear, Hairsp",Perennial,0.2,3-7,,LM,N,D,3,1,2,Opuntia dillenii
12,Opuntia ramosissima,Branched Pencil Cholla,Perennial,0.6,7-10,,LM,N,D,3,0,2,Opuntia dillenii
