,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Arthrocnemum subterminale,"Glasswort, Parish's glasswort",Perennial,0.3,0-0,,LMH,N,M,1,0,,Paris polyphylla
1,Berberis parisepala,,Shrub,3.0,5-9,,LMH,SN,DM,2,2,1.0,Paris polyphylla
2,Capparis spinosa,"Caper,Common Caper, Caper Bush",Shrub,1.0,8-10,F,LMH,N,DM,2,3,2.0,Paris polyphylla
3,Chamaecyparis lawsoniana,"Lawson Cypress, Port orford cedar, Oregon Cedar, Port Orford Cedar, Lawson's Cypress",Tree,25.0,5-7,M,LMH,SN,DM,0,1,3.0,Paris polyphylla
4,Chamaecyparis nootkatensis,"Nootka Cypress, Nootka Cypress, Yellow Cypress, Alaska Cedar",Tree,15.0,4-8,M,LMH,SN,DM,0,1,3.0,Paris polyphylla
5,Chamaecyparis obtusa,Japanese cypress,Tree,40.0,4-8,M,LMH,N,M,0,0,3.0,Paris polyphylla
6,Chamaecyparis pisifera,Sawara cypress,Tree,40.0,4-8,M,LMH,SN,M,0,0,3.0,Paris polyphylla
7,Chamaecyparis thyoides,"White Cypress, Atlantic white cedar, Coast White Cedar, Southern White Cedar, White Cypress",Tree,10.0,4-9,S,LMH,SN,DMWe,0,1,3.0,Paris polyphylla
8,Cupressocyparis leylandii,Leyland Cypress,Tree,40.0,6-10,F,LMH,SN,M,0,0,3.0,Paris polyphylla
9,Ericameria parishii,"Heath Goldenrod, Parish's rabbitbrush",Shrub,1.0,8-11,,LMH,SN,M,1,1,,Paris polyphylla
10,Liparis japonica,,Perennial,0.3,-,,LMH,S,M,1,0,,Paris polyphylla
11,Paris quadrifolia,Herb Paris,Perennial,0.3,5-9,,LM,FS,M,0,2,1.0,Paris polyphylla
12,Ribes divaricatum,"Coastal Black Gooseberry, Spreading gooseberry, Parish's gooseberry, Straggly gooseberry",Shrub,2.7,4-8,,LMH,SN,M,4,1,2.0,Paris polyphylla
