,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Passiflora actinia,Passion Flower,Climber,10.0,8-11,F,LMH,N,M,3,0,1.0,Passiflora antioquiensis
1,Passiflora caerulea,"Passion Flower, Bluecrown passionflower, Blue Passion Flower",Climber,10.0,9-11,F,LMH,N,M,3,0,1.0,Passiflora antioquiensis
2,Passiflora edulis,"Passion Flower, Purple granadilla",Climber,9.0,9-12,F,LMH,N,M,4,1,1.0,Passiflora antioquiensis
3,Passiflora herbertiana,,Climber,9.0,-,,LMH,SN,M,2,0,,Passiflora antioquiensis
4,Passiflora incarnata,"Maypops - Passion Flower, Purple passionflower, Apricot Vine, Maypop, Wild Passion Flower, Purple Pa",Climber,6.0,7-11,F,LMH,N,M,3,3,0.0,Passiflora antioquiensis
5,Passiflora laurifolia,Yellow Granadilla,Climber,15.0,10-12,F,MH,SN,M,4,2,2.0,Passiflora antioquiensis
6,Passiflora ligularis,"Sweet Grenadilla, Passion Flower",Climber,5.0,9-12,F,MH,SN,M,5,0,0.0,Passiflora antioquiensis
7,Passiflora membranacea,Passion Flower,Climber,5.0,8-11,F,LMH,N,M,3,0,,Passiflora antioquiensis
8,Passiflora mollisima,Banana Passion Fruit,Climber,5.0,5-9,F,LMH,N,M,3,0,,Passiflora antioquiensis
9,Passiflora popenovii,Granadilla de Quijos,Climber,8.0,10-12,F,MH,SN,M,4,0,0.0,Passiflora antioquiensis
10,Passiflora quadrangularis,"Giant Granadilla, Badea",Climber,15.0,10-12,F,MH,SN,M,4,2,0.0,Passiflora antioquiensis
11,Passiflora species,Passion Flower,Climber,5.0,-,F,LMH,N,M,3,0,,Passiflora antioquiensis
12,Passiflora tarminiana,"banana passionfruit, banana poka",Climber,10.0,10-12,F,MH,SN,M,4,0,0.0,Passiflora antioquiensis
13,Passiflora tetrandra,,Climber,9.0,-,,LMH,SN,M,1,0,2.0,Passiflora antioquiensis
14,Passiflora tripartita mollissima,Banana Passionfruit,Climber,5.0,10-12,F,MH,SN,M,4,0,0.0,Passiflora antioquiensis
15,Passiflora umbilicata,Passion Flower,Climber,5.0,8-11,F,LMH,N,M,2,0,,Passiflora antioquiensis
16,Passiflora x colvillii,Passion Flower,Climber,10.0,6-9,F,LMH,N,M,2,0,,Passiflora antioquiensis
