,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Picea abies,Norway Spruce,Tree,30.0,2-7,F,LMH,N,MWe,2,1,4,Picea purpurea
1,Picea asperata,Chinese Spruce,Tree,40.0,-,M,LMH,N,DM,2,0,2,Picea purpurea
2,Picea brachytyla,Sargent Spruce,Tree,40.0,7-10,F,LMH,N,M,2,0,2,Picea purpurea
3,Picea breweriana,"Weeping Spruce, Brewer spruce",Tree,15.0,5-9,S,LMH,N,M,2,0,2,Picea purpurea
4,Picea engelmannii,"Mountain Spruce, Engelmann spruce",Tree,20.0,3-7,M,LMH,N,MWe,2,2,2,Picea purpurea
5,Picea glauca,"White Spruce, Black Hills Spruce, Canadian Spruce",Tree,15.0,2-6,F,LMH,N,MWe,2,2,3,Picea purpurea
6,Picea glehnii,Sakhalin Spruce,Tree,30.0,4-7,F,LMH,N,MWe,2,0,2,Picea purpurea
7,Picea jezoensis,Yezo Spruce,Tree,35.0,-,M,LMH,N,M,2,1,3,Picea purpurea
8,Picea mariana,"Black Spruce, Swamp Spruce",Tree,20.0,3-5,S,LMH,N,MWe,2,2,3,Picea purpurea
9,Picea omorika,Serbian Spruce,Tree,25.0,4-7,F,LMH,N,MWe,2,0,2,Picea purpurea
10,Picea orientalis,Caucasian Spruce,Tree,20.0,4-7,F,LMH,SN,M,2,0,3,Picea purpurea
11,Picea pungens,"Blue Spruce, Colorado Spruce",Tree,20.0,3-7,M,LMH,N,DM,2,0,3,Picea purpurea
12,Picea rubens,Red Spruce,Tree,30.0,6-7,F,LMH,N,M,2,1,3,Picea purpurea
13,Picea sitchensis,Sitka Spruce,Tree,50.0,6-7,F,LMH,N,MWe,2,2,2,Picea purpurea
