,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Polygonatum biflorum,Small Solomon's Seal,Perennial,1.0,3-7,,LMH,FS,M,2,1,2.0,Polygonatum pubescens
1,Polygonatum cirrhifolium,,Perennial,1.2,-,,LMH,FS,M,2,2,,Polygonatum pubescens
2,Polygonatum commutatum,"King Solomon's Seal, Smooth Solomon's seal",Perennial,2.0,4-8,,LMH,FS,M,2,1,1.0,Polygonatum pubescens
3,Polygonatum cyrtonema,,Perennial,0.0,-,,LMH,FS,M,0,2,,Polygonatum pubescens
4,Polygonatum falcatum,,Perennial,0.6,4-8,,LMH,FS,DM,2,1,0.0,Polygonatum pubescens
5,Polygonatum humile,,Perennial,0.3,4-8,,LMH,FS,M,2,1,,Polygonatum pubescens
6,Polygonatum inflatum,,Perennial,0.6,-,,LMH,FS,M,2,1,,Polygonatum pubescens
7,Polygonatum involucratum,,Perennial,0.3,-,,LMH,FS,M,2,0,,Polygonatum pubescens
8,Polygonatum kingianum,,Perennial,2.0,-,,LMH,FS,M,0,2,,Polygonatum pubescens
9,Polygonatum lasianthum,,Perennial,0.6,-,,LMH,FS,M,2,0,,Polygonatum pubescens
10,Polygonatum macropodum,,Perennial,1.0,-,,LMH,FS,M,2,1,,Polygonatum pubescens
11,Polygonatum maximowiczii,,Perennial,1.0,-,,LMH,FS,M,2,0,,Polygonatum pubescens
12,Polygonatum multiflorum,"Solomon's Seal, Eurasian Solomon's seal",Perennial,1.2,4-8,,LMH,FS,DM,2,3,3.0,Polygonatum pubescens
13,Polygonatum odoratum,Solomon's Seal,Perennial,0.9,4-8,M,LMH,FS,DM,2,3,,Polygonatum pubescens
14,Polygonatum odoratum thunbergii,,Perennial,0.5,4-8,,LMH,FS,M,2,0,,Polygonatum pubescens
15,Polygonatum sibiricum,Huang Jing,Perennial,1.0,3-7,,LMH,FS,M,2,2,1.0,Polygonatum pubescens
16,Polygonatum stenanthum,,Perennial,1.2,6-9,,LMH,FS,M,2,0,,Polygonatum pubescens
