,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Banksia integrifolia,Coast Banksia,Tree,9.0,8-11,,LM,N,M,2,0,3.0,Protea cynaroides
1,Banksia marginata,Silver Banksia,Tree,9.0,8-11,,LM,N,M,2,0,3.0,Protea cynaroides
2,Euplassa cantareirae,Louro Faja,Tree,20.0,10-12,M,LMH,SN,M,0,0,4.0,Protea cynaroides
3,Gevuina avellana,Chilean Hazel,Shrub,10.0,8-11,S,LMH,S,M,3,0,3.0,Protea cynaroides
4,Grevillea robusta,Silky Oak,Tree,30.0,9-11,F,LMH,SN,DM,2,0,3.0,Protea cynaroides
5,Hakea drupacea,Sweet Hakea,Shrub,2.0,8-11,,LMH,SN,DM,0,0,3.0,Protea cynaroides
6,Hakea sericea,Silky Hakea,Shrub,3.0,8-11,,LMH,SN,DM,0,0,3.0,Protea cynaroides
7,Hakea suberea,Cork Tree,Tree,5.0,-,,LMH,SN,M,1,0,,Protea cynaroides
8,Isopogon ceratophyllus,Horny Conebush,Shrub,0.6,-,,LMH,SN,M,0,1,,Protea cynaroides
9,Knightia excelsa,Rewarewa,Tree,20.0,8-11,,LMH,SN,M,1,0,3.0,Protea cynaroides
10,Macadamia hildebrandii,Celebes nut,Tree,14.0,10-12,M,LMH,N,MWe,4,0,3.0,Protea cynaroides
11,Macadamia integrifolia,"Macadamia, Macadamia nut",Tree,10.0,9-12,S,LMH,N,M,4,0,3.0,Protea cynaroides
12,Macadamia ternifolia,"Macadamia Nut, Gympie nut",Tree,8.0,10-12,M,LMH,N,M,4,0,2.0,Protea cynaroides
13,Macadamia tetraphylla,"Queensland Nut, Macadamia nut",Tree,10.0,9-12,S,LMH,N,M,4,0,3.0,Protea cynaroides
14,Persoonia acerosa,,Shrub,1.8,-,,LM,N,DM,2,0,,Protea cynaroides
15,Persoonia arborea,,Shrub,6.0,-,S,LM,N,DM,2,0,2.0,Protea cynaroides
16,Persoonia chamaepeuce,Dwarf Geebung,Shrub,0.3,8-11,,LM,N,DM,2,0,,Protea cynaroides
17,Persoonia curvifolia,,Shrub,1.0,-,,LM,N,DM,2,0,,Protea cynaroides
18,Persoonia fastigiata,,Shrub,1.0,-,,LM,N,DM,2,0,,Protea cynaroides
19,Persoonia gunnii,,Shrub,3.5,-,,LM,N,DM,2,0,,Protea cynaroides
20,Persoonia juniperina,,Shrub,0.8,-,,LM,N,DM,2,0,,Protea cynaroides
21,Persoonia levis,Broad-Leaved Geebong,Shrub,5.0,8-11,,LM,N,DM,2,0,,Protea cynaroides
22,Persoonia linearis,,Shrub,5.0,8-11,,LM,N,DM,2,0,,Protea cynaroides
23,Persoonia mollis,,Shrub,1.8,-,,LM,N,DM,2,0,,Protea cynaroides
24,Persoonia oxycocceoides,,Shrub,1.0,-,,LM,N,DM,2,0,,Protea cynaroides
25,Persoonia pinifolia,Pin-Leaf Geebung,Shrub,3.5,8-11,,LM,N,DM,2,0,,Protea cynaroides
26,Persoonia rigida,,Shrub,0.0,-,,LM,N,DM,2,0,,Protea cynaroides
27,Persoonia subvelutina,,Shrub,4.5,-,,LM,N,DM,2,0,,Protea cynaroides
28,Protea mellifera,Sugar Bush,Shrub,2.5,8-11,,L,N,DM,1,1,,Protea cynaroides
