,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Prunus africana,Pygeum,Tree,18.0,10-12,F,LM,N,M,0,5,2,Prunus cerasifera
1,Prunus alabamensis,Alabama Cherry,Tree,8.0,-,,LMH,SN,M,2,1,1,Prunus cerasifera
2,Prunus alleghaniensis,"Allegheny Plum, Davis' plum",Tree,3.5,4-8,F,LMH,SN,M,3,1,2,Prunus cerasifera
3,Prunus americana,"American Plum, American Wild Plum, Wild Plum",Tree,6.0,3-8,M,LMH,SN,M,3,2,3,Prunus cerasifera
4,Prunus americana lanata,,Tree,10.0,3-7,,LMH,SN,M,3,1,2,Prunus cerasifera
5,Prunus andersonii,Desert Peach,Shrub,1.8,-,,LMH,SN,M,2,2,1,Prunus cerasifera
6,Prunus angustifolia,"Chickasaw Plum, Watson's plum, Hally Jolivette Cherry",Tree,3.0,5-9,M,LMH,SN,M,3,1,3,Prunus cerasifera
7,Prunus angustifolia watsonii,Sand Plum,Shrub,3.0,5-9,,LMH,SN,M,4,1,2,Prunus cerasifera
8,Prunus apetala,Clove Cherry,Shrub,7.0,-,,LMH,SN,M,2,1,1,Prunus cerasifera
9,Prunus arabica,,Shrub,0.0,-,,LMH,SN,DM,2,1,2,Prunus cerasifera
10,Prunus armeniaca,Apricot,Tree,9.0,5-7,M,LM,SN,M,4,3,4,Prunus cerasifera
11,Prunus armeniaca mandschurica,Manchurian apricot,Tree,6.0,3-9,M,LM,SN,M,4,3,3,Prunus cerasifera
12,Prunus avium,"Wild Cherry, Sweet cherry",Tree,18.0,3-7,F,LMH,SN,M,4,2,4,Prunus cerasifera
13,Prunus besseriana,Dwarf Almond,Tree,0.0,-,,LMH,SN,M,2,1,2,Prunus cerasifera
14,Prunus besseyi,Western Sand Cherry,Shrub,1.2,3-6,M,LMH,SN,M,4,1,2,Prunus cerasifera
15,Prunus bifrons,,Shrub,1.8,-,,LMH,SN,M,2,1,1,Prunus cerasifera
16,Prunus bokharensis,Bokhara Plum,Tree,0.0,-,,LMH,SN,M,2,1,1,Prunus cerasifera
17,Prunus brigantina,Briançon Apricot,Tree,6.0,6-9,,LMH,SN,DM,4,1,2,Prunus cerasifera
18,Prunus buergeriana,,Tree,9.0,4-8,,LMH,SN,M,2,1,1,Prunus cerasifera
19,Prunus campanulata,Taiwan Cherry,Tree,7.0,7-9,M,LMH,SN,M,2,1,1,Prunus cerasifera
20,Prunus canescens,Greyleaf Cherry,Shrub,3.0,5-9,,LMH,SN,M,3,1,2,Prunus cerasifera
21,Prunus capsica,,Tree,0.0,-,,LMH,SN,M,2,1,1,Prunus cerasifera
22,Prunus caroliniana,"American Cherry Laurel, Carolina laurelcherry, Laurel Cherry,",Shrub,12.0,7-10,F,LMH,SN,DM,2,1,3,Prunus cerasifera
23,Prunus cerasifera divaricata,,Tree,10.0,4-8,,LMH,SN,M,4,1,1,Prunus cerasifera
24,Prunus cerasoides,Wild Himalayan Cherry,Tree,30.0,7-10,,LMH,SN,M,2,2,2,Prunus cerasifera
25,Prunus cerasus,Sour Cherry,Tree,6.0,3-7,,LMH,SN,M,1,2,3,Prunus cerasifera
26,Prunus cerasus austera,Morello Cherry,Tree,9.0,3-7,,LMH,SN,M,3,1,3,Prunus cerasifera
27,Prunus cerasus caproniana,Kentish Red Cherry,Tree,9.0,3-7,,LMH,SN,M,3,1,3,Prunus cerasifera
28,Prunus cerasus frutescens,Bush Sour Cherry,Tree,1.0,3-7,,LMH,SN,M,3,1,3,Prunus cerasifera
