,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Rhododendron anthopogon,,Shrub,0.6,6-9,,LM,SN,M,1,2,1.0,Rhododendron luteum
1,Rhododendron arboreum,,Shrub,12.0,6-9,,LM,SN,M,1,2,3.0,Rhododendron luteum
2,Rhododendron aureum,Rosebay,Shrub,0.5,-,,LM,SN,M,0,2,,Rhododendron luteum
3,Rhododendron campanulatum,,Shrub,4.5,4-8,,LM,SN,M,0,1,2.0,Rhododendron luteum
4,Rhododendron ferrugineum,Alpenrose,Shrub,1.5,4-8,,LM,SN,M,0,1,3.0,Rhododendron luteum
5,Rhododendron griersonianum,,Shrub,3.0,7-10,,LMH,SN,M,0,0,3.0,Rhododendron luteum
6,Rhododendron indicum,Rhododendron,Shrub,2.0,5-9,,LM,S,M,1,0,3.0,Rhododendron luteum
7,Rhododendron japonicum,Japanese azalea,Shrub,2.0,4-8,,LM,SN,M,1,1,,Rhododendron luteum
8,Rhododendron kaempferi,,Shrub,2.5,4-8,,LM,S,M,1,0,3.0,Rhododendron luteum
9,Rhododendron lapponicum,Lapland Rosebay,Shrub,1.0,-,,LM,SN,M,1,0,,Rhododendron luteum
10,Rhododendron lutescens,,Shrub,3.0,6-9,,LM,SN,M,0,0,2.0,Rhododendron luteum
11,Rhododendron maximum,"Rosebay Rhododendron, Great laurel",Shrub,3.5,3-7,,LM,S,M,0,1,2.0,Rhododendron luteum
12,Rhododendron molle,Chinese Azalea,Shrub,2.5,6-9,,LM,S,M,0,1,1.0,Rhododendron luteum
13,Rhododendron mucronulatum,,Shrub,2.5,4-8,,LM,SN,M,1,0,,Rhododendron luteum
14,Rhododendron periclymenoides,"Pink azalea, Pinxter flower",Shrub,2.0,4-8,M,LMH,FSN,DM,1,0,2.0,Rhododendron luteum
15,Rhododendron 'PJM',,Shrub,3.0,-,,LM,SN,M,0,0,,Rhododendron luteum
16,Rhododendron ponticum,Rhododendron,Shrub,5.0,6-9,,LM,S,M,0,1,2.0,Rhododendron luteum
