,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Salix acutifolia,Sharp-Leaf Willow,Shrub,10.0,4-8,,LMH,N,MWe,1,2,3.0,Salix lanata
1,Salix aegyptiaca,,Shrub,4.0,5-9,,LMH,N,MWe,1,2,2.0,Salix lanata
2,Salix alaxensis,Feltleaf Wiillow,Tree,10.0,3-7,,LMH,N,MWe,1,2,2.0,Salix lanata
3,Salix alba,White Willow,Tree,25.0,2-8,F,LMH,N,MWe,1,3,4.0,Salix lanata
4,Salix alba caerulea,Cricket Bat Willow,Tree,25.0,-,F,LMH,N,MWe,1,3,3.0,Salix lanata
5,Salix alba vitellina,Golden Willow,Tree,20.0,-,F,LMH,N,MWe,1,3,3.0,Salix lanata
6,Salix 'Americana',,Tree,0.0,0-0,,LMH,N,MWe,0,2,3.0,Salix lanata
7,Salix amygdaloides,Peach Leaved Willow,Tree,20.0,4-8,F,LMH,N,MWe,0,2,3.0,Salix lanata
8,Salix appendiculata,,Shrub,6.0,6-9,,LMH,N,MWe,1,2,3.0,Salix lanata
9,Salix arenaria,,Shrub,1.0,5-9,,LMH,N,MWe,1,2,3.0,Salix lanata
10,Salix atrocinerea,"Rusty Sallow, large gray willow",Tree,10.0,-,,LMH,N,MWe,0,3,3.0,Salix lanata
11,Salix aurita,Eared Sallow,Shrub,2.5,4-8,,LMH,N,DMWe,0,2,3.0,Salix lanata
12,Salix babylonica,"Weeping Willow, Babylon Weeping Willow",Tree,12.0,6-9,F,LMH,N,MWe,1,3,4.0,Salix lanata
13,Salix bakko,,Tree,0.0,-,,LMH,N,MWe,1,2,,Salix lanata
14,Salix bebbiana,"Beak Willow, Bebb Willow",Shrub,7.0,3-7,F,LMH,N,MWe,0,2,4.0,Salix lanata
15,Salix bonplandiana,"Sauce, Bonpland willow",Tree,10.0,9-11,F,LMH,N,MWe,0,0,4.0,Salix lanata
16,Salix 'Bowles hybrid',,Tree,5.0,0-0,F,LMH,N,MWe,1,2,3.0,Salix lanata
17,Salix brachycarpa,shortfruit willow,Shrub,1.4,4-8,,LMH,N,MWe,1,2,3.0,Salix lanata
18,Salix caprea,"Goat Willow, Kilmarnock Willow, Pink Pussy Willow, Pussy Willow",Tree,10.0,4-9,F,LMH,SN,DMWe,1,2,4.0,Salix lanata
19,Salix chaenomeloides,Japanese Pussy Willow,Tree,6.0,6-8,F,LMH,N,MWe,1,2,3.0,Salix lanata
20,Salix cinerea,"Grey Willow, Large gray willow",Shrub,5.0,2-7,,LMH,N,MWe,0,3,3.0,Salix lanata
21,Salix commutata,undergreen willow,Shrub,3.0,4-8,,LMH,SN,MWe,1,2,3.0,Salix lanata
22,Salix daphnoides,"Violet Willow, Daphne willow",Tree,10.0,4-8,F,LMH,N,MWe,1,2,3.0,Salix lanata
23,Salix decipiens,,Tree,0.0,-,,LMH,N,MWe,1,2,3.0,Salix lanata
24,Salix eriocephala,"Missouri Willow, Missouri River willow",Shrub,4.0,5-9,,LMH,N,MWe,0,2,3.0,Salix lanata
25,Salix exigua,"Coyote Willow, Narrowleaf willow",Tree,9.0,0-0,,LMH,N,MWe,1,2,3.0,Salix lanata
26,Salix fluviatilis,River Willow,Tree,7.0,3-7,,LMH,N,MWe,0,2,3.0,Salix lanata
27,Salix 'Forbiana',,Shrub,0.0,0-0,F,LMH,N,MWe,1,2,3.0,Salix lanata
28,Salix fragilis,Crack Willow,Tree,15.0,4-8,F,LMH,N,MWe,1,3,3.0,Salix lanata
29,Salix gilgiana,Willow,Shrub,0.0,0-0,F,LMH,N,MWe,1,2,3.0,Salix lanata
