,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Saussurea costus,Costus,Perennial,3.0,6-9,,LMH,SN,M,2,3,2.0,Saussurea affinis
1,Saussurea diamantica,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea affinis
2,Saussurea gracilis,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea affinis
3,Saussurea graminifolia,,Perennial,0.2,-,,LMH,SN,M,0,2,,Saussurea affinis
4,Saussurea grandifolia,,Perennial,0.0,-,,LMH,N,M,1,0,,Saussurea affinis
5,Saussurea lyrata,,Perennial,0.0,-,,LMH,N,M,1,0,,Saussurea affinis
6,Saussurea maximowiczii,,Perennial,1.5,-,,LMH,SN,M,1,0,,Saussurea affinis
7,Saussurea obvallata,,Perennial,0.3,-,,LMH,SN,M,0,2,,Saussurea affinis
8,Saussurea parviflora,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea affinis
9,Saussurea pulchella,,Perennial,1.5,3-7,,LMH,SN,M,1,0,,Saussurea affinis
10,Saussurea roylei,,Perennial,0.5,-,,LMH,SN,M,0,2,,Saussurea affinis
11,Saussurea serrata amurensis,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea affinis
