,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Saussurea affinis,,Biennial,0.6,-,,LMH,N,M,1,1,,Saussurea costus
1,Saussurea diamantica,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea costus
2,Saussurea gracilis,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea costus
3,Saussurea graminifolia,,Perennial,0.2,-,,LMH,SN,M,0,2,,Saussurea costus
4,Saussurea grandifolia,,Perennial,0.0,-,,LMH,N,M,1,0,,Saussurea costus
5,Saussurea lyrata,,Perennial,0.0,-,,LMH,N,M,1,0,,Saussurea costus
6,Saussurea maximowiczii,,Perennial,1.5,-,,LMH,SN,M,1,0,,Saussurea costus
7,Saussurea obvallata,,Perennial,0.3,-,,LMH,SN,M,0,2,,Saussurea costus
8,Saussurea parviflora,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea costus
9,Saussurea pulchella,,Perennial,1.5,3-7,,LMH,SN,M,1,0,,Saussurea costus
10,Saussurea roylei,,Perennial,0.5,-,,LMH,SN,M,0,2,,Saussurea costus
11,Saussurea serrata amurensis,,Perennial,0.0,-,,LMH,SN,M,1,0,,Saussurea costus
