,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Hypochoeris scorzonerae,,Perennial,0.0,-,,LMH,N,DM,1,1,,Scorzonera undulata deliciosa
1,Reichardia picroides,"French Scorzonera, Common brighteyes",Perennial,0.5,7-10,,LMH,SN,M,5,0,,Scorzonera undulata deliciosa
2,Scorzonera acanthoclada,Teke-Saghyz,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera undulata deliciosa
3,Scorzonera albicaulis,,Perennial,0.3,-,,LMH,N,DM,2,0,2.0,Scorzonera undulata deliciosa
4,Scorzonera austriaca,,Perennial,0.5,-,,LMH,N,DM,2,0,,Scorzonera undulata deliciosa
5,Scorzonera crocifolia,,Perennial,0.5,-,,LMH,N,DM,1,0,,Scorzonera undulata deliciosa
6,Scorzonera divaricata,,Perennial,0.0,-,,LMH,N,DM,2,0,2.0,Scorzonera undulata deliciosa
7,Scorzonera hispanica,Scorzonera,Perennial,1.0,5-9,,LMH,SN,M,4,0,1.0,Scorzonera undulata deliciosa
8,Scorzonera hissaricata,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera undulata deliciosa
9,Scorzonera mollis,,Perennial,0.3,5-9,,LMH,N,DM,2,0,,Scorzonera undulata deliciosa
10,Scorzonera mongolica,,Perennial,0.0,-,,LMH,N,DM,2,0,,Scorzonera undulata deliciosa
11,Scorzonera papposa,,Perennial,0.3,-,,LMH,N,DM,2,0,,Scorzonera undulata deliciosa
12,Scorzonera parviflora,,Biennial/Perennial,0.6,-,,LMH,N,DM,1,0,,Scorzonera undulata deliciosa
13,Scorzonera ptilophora,,Perennial,0.0,-,,LMH,N,DM,2,0,,Scorzonera undulata deliciosa
14,Scorzonera racemosa,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera undulata deliciosa
15,Scorzonera schweinfurthii,,Perennial,0.0,-,,LMH,N,DM,1,0,,Scorzonera undulata deliciosa
16,Scorzonera tau-saghyz,Tau-Saghyz,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera undulata deliciosa
17,Scorzonera tragapogonoides,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera undulata deliciosa
18,Scorzonera tuberosa,,Perennial,0.1,-,,LMH,N,DM,1,0,,Scorzonera undulata deliciosa
19,Scorzonera turkestanica,,Perennial,0.0,-,,LMH,N,DM,0,0,2.0,Scorzonera undulata deliciosa
20,Scorzonera undulata,,Perennial,0.3,-,,LMH,N,DM,2,0,,Scorzonera undulata deliciosa
