,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Acer caesium,,Tree,15.0,5-9,,LMH,SN,M,0,1,3.0,Sium sisarum
1,Carpesium abrotanoides,,Perennial,1.0,-,,LMH,SN,M,2,2,1.0,Sium sisarum
2,Carpesium divaricatum,,Perennial,1.0,-,,LMH,SN,M,1,2,,Sium sisarum
3,Carpesium glossophyllum,,Perennial,0.5,-,,LMH,SN,M,1,0,,Sium sisarum
4,Carpesium triste,,Perennial,1.0,-,,LMH,SN,M,1,0,,Sium sisarum
5,Cirsium acaulon,Stemless Thistle,Perennial,0.3,4-8,,LMH,N,M,0,1,2.0,Sium sisarum
6,Cirsium amplexifolium,Dakiba-Hime-Azami,Perennial,1.5,-,,LMH,N,M,1,0,2.0,Sium sisarum
7,Cirsium arvense,"Creeping Thistle, Canada thistle",Perennial,0.9,4-7,F,LMH,N,M,2,2,2.0,Sium sisarum
8,Cirsium brevicaule,,Perennial,1.0,-,,LMH,N,M,1,0,2.0,Sium sisarum
9,Cirsium brevistylum,"Indian Thistle, Clustered thistle",Perennial,1.8,0-0,,LMH,SN,M,3,0,2.0,Sium sisarum
10,Cirsium buergeri,,Perennial,1.8,-,,LMH,N,M,1,0,2.0,Sium sisarum
11,Cirsium chinense,,Perennial,0.8,-,,LMH,N,M,1,0,2.0,Sium sisarum
12,Cirsium coreanum,,Perennial,0.0,-,,LMH,SN,M,1,0,2.0,Sium sisarum
13,Cirsium dipsacolepis,,Perennial,1.0,-,,LMH,N,M,1,0,2.0,Sium sisarum
14,Cirsium eatoni,Eaton's Thistle,Perennial,0.5,-,,LMH,N,DM,1,1,2.0,Sium sisarum
15,Cirsium edule,Edible Thistle,Perennial,2.0,6-9,,LMH,N,M,3,0,2.0,Sium sisarum
16,Cirsium eriophorum,Wooly Thistle,Biennial,1.5,5-9,,LMH,N,M,2,0,2.0,Sium sisarum
17,Cirsium foliosum,Elk thistle,Perennial,0.6,5-9,,LMH,N,MWe,3,0,2.0,Sium sisarum
18,Cirsium hookerianum,White Thistle,Perennial,1.5,-,,LMH,N,M,2,0,2.0,Sium sisarum
19,Cirsium japonicum,"No-Azami, Japanese thistle",Biennial/Perennial,0.9,5-9,,LMH,N,M,2,2,2.0,Sium sisarum
20,Cirsium kamtschaticum,Kamchatka thistle,Perennial,1.8,0-0,,LMH,N,M,1,0,2.0,Sium sisarum
21,Cirsium lepskyle,,Perennial,0.0,-,,LMH,N,M,1,0,2.0,Sium sisarum
22,Cirsium lineare,,Perennial,1.0,-,,LMH,N,M,1,0,2.0,Sium sisarum
23,Cirsium maackii,,Perennial,1.0,-,,LMH,N,M,1,0,2.0,Sium sisarum
24,Cirsium maritimum,,Perennial,0.4,-,,LMH,N,M,1,0,2.0,Sium sisarum
25,Cirsium nipponicum,,Perennial,1.5,-,,LMH,N,M,1,1,2.0,Sium sisarum
26,Cirsium occidentale,"Cobwebby Thistle, Snowy thistle, Compact cobwebby thistle",Perennial,1.0,8-11,,LMH,N,DM,2,0,2.0,Sium sisarum
27,Cirsium ochrocentrum,Yellow Spined Thistle,Perennial,1.5,0-0,,LMH,N,DM,2,2,2.0,Sium sisarum
28,Cirsium oleraceum,Cabbage Thistle,Perennial,1.2,-,,LMH,SN,MWe,2,0,2.0,Sium sisarum
29,Cirsium oligophyllum,,Perennial,1.0,-,,LMH,N,M,2,0,2.0,Sium sisarum
