,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Solidago canadensis,"Canadian Goldenrod, Shorthair goldenrod, Harger's goldenrod, Rough Canada goldenrod, Common Goldenro",Perennial,1.8,5-10,M,LMH,SN,M,2,2,1,Solidago graminifolia
1,Solidago canadensis scabra,Canadian Goldenrod,Perennial,1.8,3-7,,LMH,SN,M,2,2,2,Solidago graminifolia
2,Solidago fistulosa,Pine barren goldenrod,Perennial,1.8,0-0,,LMH,SN,M,0,1,2,Solidago graminifolia
3,Solidago flexicaulis,Zigzag goldenrod,Perennial,0.6,3-9,M,LMH,FSN,DM,0,0,3,Solidago graminifolia
4,Solidago gigantea,Giant Goldenrod,Perennial,1.2,5-9,,LMH,SN,M,0,2,1,Solidago graminifolia
5,Solidago japonica,,Perennial,0.0,-,,LMH,SN,M,1,1,1,Solidago graminifolia
6,Solidago leavenworthii,Leavenworth's goldenrod,Perennial,1.2,-,,LMH,SN,M,0,1,2,Solidago graminifolia
7,Solidago missouriensis,"Prairie Goldenrod, Missouri goldenrod, Tolmie's goldenrod",Perennial,1.2,6-9,,LMH,SN,DM,2,1,1,Solidago graminifolia
8,Solidago nemoralis,"Old-Field Goldenrod, Gray goldenrod",Perennial,0.3,0-0,,LMH,SN,DM,1,1,1,Solidago graminifolia
9,Solidago odora,"Sweet Goldenrod, Anisescented goldenrod, Chapman's goldenrod",Perennial,1.2,3-7,,LMH,SN,DM,2,2,2,Solidago graminifolia
10,Solidago radiata,,,0.0,-,,LMH,SN,M,1,1,1,Solidago graminifolia
11,Solidago rigida,"Stiff Goldenrod, Flat Topped Goldenrod, Stiff Goldenrod",Perennial,1.2,3-9,F,LMH,SN,M,0,2,2,Solidago graminifolia
12,Solidago spathulata,"Coast Goldenrod, Creeping Goldenrod",Perennial,0.6,4-9,F,LMH,SN,M,1,1,1,Solidago graminifolia
13,Solidago spectabilis,Nevada Goldenrod,Perennial,0.5,6-9,,LMH,SN,M,1,1,1,Solidago graminifolia
14,Solidago suaveolens,anisescented goldenrod,Perennial,0.0,-,,LMH,SN,M,1,1,1,Solidago graminifolia
