,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Amelasorbus jackii,Jack's amelasorbus,Shrub,2.0,3-7,,LMH,SN,M,2,0,,Sorbus pohuashanensis
1,Sorbus alnifolia,Korean Mountain Ash,Tree,15.0,4-7,F,LMH,SN,M,1,0,2.0,Sorbus pohuashanensis
2,Sorbus americana,American Mountain Ash,Tree,10.0,2-6,S,LMH,SN,M,1,2,2.0,Sorbus pohuashanensis
3,Sorbus aria,"Whitebeam, Chess-apple",Tree,12.0,4-8,,LMH,SN,M,3,1,4.0,Sorbus pohuashanensis
4,Sorbus aucuparia,"Mountain Ash, European mountain ash",Tree,15.0,3-6,M,LMH,SN,M,2,2,3.0,Sorbus pohuashanensis
5,Sorbus austriaca,,Tree,10.0,5-9,,LMH,SN,M,2,0,,Sorbus pohuashanensis
6,Sorbus commixta,,Tree,10.0,5-9,,LMH,SN,M,1,0,,Sorbus pohuashanensis
7,Sorbus decora,Showy Mountain Ash,Tree,10.0,0-0,,LMH,SN,M,1,1,2.0,Sorbus pohuashanensis
8,Sorbus devoniensis,Devon Whitebeam,Tree,13.0,6-9,M,LMH,SN,M,3,0,2.0,Sorbus pohuashanensis
9,Sorbus domestica,Service Tree,Tree,15.0,6-10,M,LMH,SN,M,5,0,2.0,Sorbus pohuashanensis
10,Sorbus gracilis,,Shrub,2.0,5-9,,LMH,SN,M,1,0,,Sorbus pohuashanensis
11,Sorbus hybrida,"Swedish Service Tree, Oakleaf mountain ash",Tree,9.0,4-8,,LMH,SN,M,1,0,,Sorbus pohuashanensis
12,Sorbus intermedia,Swedish Whitebeam,Tree,12.0,4-8,M,LMH,SN,M,2,0,3.0,Sorbus pohuashanensis
13,Sorbus japonica,,Tree,20.0,5-9,,LMH,SN,M,1,0,,Sorbus pohuashanensis
14,Sorbus lanata,,Tree,10.0,4-8,M,LMH,SN,M,3,0,2.0,Sorbus pohuashanensis
15,Sorbus latifolia,French Hales,Tree,14.0,4-8,M,LMH,SN,M,4,0,,Sorbus pohuashanensis
16,Sorbus mougeotii,,Tree,18.0,5-9,M,LMH,SN,M,4,0,,Sorbus pohuashanensis
17,Sorbus sambucifolia,Siberian mountain ash,Shrub,0.0,5-9,,LMH,SN,M,2,0,,Sorbus pohuashanensis
18,Sorbus scopulina,"Western Mountain Ash, Greene's mountain ash, Cascade mountain ash",Shrub,4.0,4-8,,LMH,SN,M,2,1,1.0,Sorbus pohuashanensis
19,Sorbus sitchensis,"Sitka Mountain Ash, Western mountain ash",Shrub,1.8,4-8,S,LMH,SN,M,1,1,2.0,Sorbus pohuashanensis
20,Sorbus species,,Tree,10.0,6-9,,LMH,SN,M,2,0,,Sorbus pohuashanensis
21,Sorbus thibetica,Tibetan whitebeam,Tree,20.0,5-9,,LMH,SN,M,3,0,0.0,Sorbus pohuashanensis
22,Sorbus torminalis,"Wild Service Tree, Checkertree",Tree,20.0,5-9,M,LMH,SN,M,4,0,2.0,Sorbus pohuashanensis
