,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Suaeda australis,Seablite,Annual,0.3,-,,LMH,SN,M,2,0,,Suaeda californica
1,Suaeda corniculata,,Annual,0.5,-,,LMH,N,M,1,0,,Suaeda californica
2,Suaeda depressa,Pursh seepweed,Annual/Perennial,0.5,-,,LM,N,M,1,0,,Suaeda californica
3,Suaeda fruticosa,Shrubby Seablite,Shrub,1.0,-,,LM,N,M,2,1,1.0,Suaeda californica
4,Suaeda glauca,,Annual,0.6,-,,LMH,N,M,1,0,1.0,Suaeda californica
5,Suaeda japonica,,Annual,0.3,-,,LMH,N,M,1,0,,Suaeda californica
6,Suaeda linearis,"Southern Sea Blite, Annual seepweed",Annual/Perennial,1.0,0-0,,LMH,N,M,1,0,,Suaeda californica
7,Suaeda maritima,"Sea Blite, Herbaceous seepweed, Rich's seepweed",Annual,0.3,0-0,,LM,N,M,3,0,1.0,Suaeda californica
8,Suaeda nigra,Bush Seepweed,Annual,1.5,-,,LMH,N,M,1,0,,Suaeda californica
9,Suaeda occidentalis,Western Seepweed,Annual,0.0,-,,LM,N,M,1,0,,Suaeda californica
10,Suaeda palmeri,,Annual,0.0,-,,LMH,N,M,1,0,,Suaeda californica
