,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Taraxacum albidum,,Perennial,0.4,4-8,,LMH,SN,M,2,0,,Taraxacum pseudoalbidum
1,Taraxacum bessarabicum,,Perennial,0.0,-,,LMH,SN,M,1,0,,Taraxacum pseudoalbidum
2,Taraxacum brassicifolium,,Perennial,0.0,-,,LMH,SN,M,1,0,,Taraxacum pseudoalbidum
3,Taraxacum formosanum,,Perennial,0.0,-,,LMH,SN,M,1,0,,Taraxacum pseudoalbidum
4,Taraxacum heterolepis,,Perennial,0.0,-,,LMH,SN,M,1,2,,Taraxacum pseudoalbidum
5,Taraxacum hondoense,,Perennial,0.3,-,,LMH,SN,M,1,0,,Taraxacum pseudoalbidum
6,Taraxacum hybernum,,Perennial,0.0,-,,LMH,SN,M,1,0,2.0,Taraxacum pseudoalbidum
7,Taraxacum japonicum,,Perennial,0.2,-,,LMH,SN,M,1,1,,Taraxacum pseudoalbidum
8,Taraxacum kok-saghyz,Rubber Dandelion,Perennial,0.3,-,,LMH,SN,M,1,0,3.0,Taraxacum pseudoalbidum
9,Taraxacum laevigatum,"Red-Seed Dandelion, Rock dandelion",Perennial,0.2,0-0,,LMH,SN,DM,1,0,,Taraxacum pseudoalbidum
10,Taraxacum magellanicum,,Perennial,0.1,-,,LMH,SN,M,1,0,,Taraxacum pseudoalbidum
11,Taraxacum megalorrhizon,,Perennial,0.2,4-8,,LMH,SN,M,1,0,2.0,Taraxacum pseudoalbidum
12,Taraxacum mongolicum,,Perennial,0.2,-,,LMH,SN,M,1,3,,Taraxacum pseudoalbidum
13,Taraxacum obovatum,,Perennial,0.2,4-8,,LMH,SN,M,2,0,,Taraxacum pseudoalbidum
14,Taraxacum officinale,"Dandelion - Kukraundha, Kanphool, Common dandelion, Dandelion",Perennial,0.5,5-9,F,LMH,SN,M,4,3,3.0,Taraxacum pseudoalbidum
15,Taraxacum platycarpum,,Perennial,0.3,-,,LMH,SN,M,1,0,,Taraxacum pseudoalbidum
16,Taraxacum sinicum,,Perennial,0.0,-,,LMH,SN,M,1,3,,Taraxacum pseudoalbidum
17,Taraxacum tibetanum,,Perennial,0.0,-,,LMH,SN,M,1,2,,Taraxacum pseudoalbidum
