,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Trifolium bifidum,"Piñole Clover, Notchleaf clover",Annual,0.5,0-0,,LMH,N,M,2,0,3.0,Trifolium cyathiferum
1,Trifolium ciliatum,Foothill Clover,Annual,0.5,0-0,,LMH,N,M,2,0,3.0,Trifolium cyathiferum
2,Trifolium dichotomum,Branched Indian Clover,Annual,0.6,0-0,,LMH,N,M,2,0,2.0,Trifolium cyathiferum
3,Trifolium dubium,Suckling Clover,Annual,0.5,0-0,,LMH,N,M,0,1,3.0,Trifolium cyathiferum
4,Trifolium fimbriatum,"Springbank Clover, Cows clover",Perennial,1.0,0-0,,LMH,N,M,3,0,2.0,Trifolium cyathiferum
5,Trifolium fucatum,"Sour Clover, Bull clover",Annual,0.6,0-0,,LMH,N,M,2,0,2.0,Trifolium cyathiferum
6,Trifolium fucatum virescens,,Annual,0.6,0-0,,LMH,N,M,2,0,2.0,Trifolium cyathiferum
7,Trifolium gracilentum,"Pin-Point Clover, Palmer's clover",Annual,0.6,0-0,,LMH,N,M,2,0,2.0,Trifolium cyathiferum
8,Trifolium hybridum,Alsike Clover,Perennial,0.6,0-0,,LMH,N,M,2,1,2.0,Trifolium cyathiferum
9,Trifolium incarnatum,Crimson Clover,Annual,0.5,3-9,M,LMH,N,M,2,0,4.0,Trifolium cyathiferum
10,Trifolium lupinaster,Lupine clover,Perennial,0.5,0-0,,LMH,N,M,1,0,2.0,Trifolium cyathiferum
11,Trifolium macrocephalum,"Bighead Clover, Largehead clover",Perennial,0.3,4-8,,LMH,N,M,1,0,3.0,Trifolium cyathiferum
12,Trifolium microcephalum,Smallhead Clover,Annual,0.6,-,,LMH,N,M,1,0,,Trifolium cyathiferum
13,Trifolium obtusiflorum,Clammy Clover,Annual,1.0,0-0,,LMH,N,M,2,0,2.0,Trifolium cyathiferum
14,Trifolium ornithopodioides,"Birdsfoot Fenugreek, Bird clover",Annual/Perennial,0.2,0-0,,LMH,N,MWe,1,0,3.0,Trifolium cyathiferum
15,Trifolium pratense,Red Clover,Perennial,0.6,5-9,M,LMH,N,M,3,3,4.0,Trifolium cyathiferum
16,Trifolium repens,"White Clover, Dutch Clover, Purple Dutch Clover, Shamrock, White Clover",Perennial,0.1,4-8,M,LMH,N,M,3,2,4.0,Trifolium cyathiferum
17,Trifolium subterraneum,Subterranean Clover,Annual,0.2,7-10,,LMH,N,M,1,0,4.0,Trifolium cyathiferum
18,Trifolium tridentatum,Tomcat Clover,Annual,0.6,0-0,,LMH,N,M,2,0,2.0,Trifolium cyathiferum
