,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Boehmeria cylindrica,"False Nettle, Smallspike false nettle",Perennial,1.0,0-0,,LM,SN,M,0,0,1.0,Urtica californica
1,Boehmeria glomerulifera,,Shrub,4.0,-,,LM,SN,DM,0,0,2.0,Urtica californica
2,Boehmeria longispica,,Shrub,1.2,-,,LM,SN,M,1,1,1.0,Urtica californica
3,Boehmeria macrophylla,,Shrub,2.5,-,,LM,SN,DM,0,0,2.0,Urtica californica
4,Boehmeria nipononivea,Ramie,Perennial,1.5,-,,LM,SN,M,1,1,2.0,Urtica californica
5,Boehmeria nivea,"Ramie, Chinese Grass, Chinese Silk Plant",Perennial,1.8,6-9,,L,SN,DM,2,2,5.0,Urtica californica
6,Boehmeria spicata,,Shrub,1.0,-,,LM,SN,M,1,0,2.0,Urtica californica
7,Boehmeria tricuspis,,Perennial,0.8,-,,LM,SN,M,1,1,3.0,Urtica californica
8,Cecropia peltata,"Trumpet Tree, Snakewood, Congo pump, Wild pawpaw, Pop-a-gun",Tree,20.0,9-12,F,LMH,N,M,3,3,5.0,Urtica californica
9,Debregeasia edulis,,Shrub,0.0,0-0,,LMH,S,M,2,1,0.0,Urtica californica
10,Debregeasia hypoleuca,,Shrub,5.0,7-10,,LMH,S,M,2,0,2.0,Urtica californica
11,Debregeasia longifolia,Wild Rhea,Shrub,5.0,7-10,,LMH,S,M,1,1,2.0,Urtica californica
12,Debregeasia wallichiana,,Tree,5.0,-,,LMH,S,M,0,0,1.0,Urtica californica
13,Elatostema cuneatum,,Annual,0.3,-,,LMH,S,M,1,0,,Urtica californica
14,Elatostema dissectum,,Perennial,0.7,-,,LMH,SN,M,1,0,,Urtica californica
15,Elatostema laetevirens,,Perennial,0.3,-,,LMH,S,M,1,0,,Urtica californica
16,Girardinia diversifolia,Himalayan Nettle,Annual/Perennial,3.0,-,,LMH,SN,M,2,2,2.0,Urtica californica
17,Gonostegia hirta,,Perennial,1.0,-,,LMH,SN,M,0,2,,Urtica californica
18,Laportea bulbifera,,Perennial,0.6,-,,LMH,SN,M,3,0,2.0,Urtica californica
19,Laportea canadensis,Canadian Wood Nettle,Perennial,1.0,0-0,,LMH,SN,M,3,1,2.0,Urtica californica
20,Laportea macrostachya,,Perennial,0.8,-,,LMH,SN,M,3,0,2.0,Urtica californica
21,Musanga cecropioides,Corkwood,Tree,20.0,10-12,F,LMH,N,M,3,4,4.0,Urtica californica
22,Myrianthus arboreus,"Giant yellow mulberry, Monkeyfruit",Tree,15.0,10-12,M,LMH,N,MWe,4,3,2.0,Urtica californica
23,Oreocnide integrifolia,Wild Rhea,Tree,12.0,10-12,S,LMH,FS,MWe,0,0,4.0,Urtica californica
24,Parietaria judaica,"Pellitory Of The Wall, Spreading pellitory",Perennial,0.6,0-0,,LMH,SN,DM,2,3,1.0,Urtica californica
25,Parietaria officinalis,"Pellitory Of The Wall, Upright pellitory",Perennial,0.6,0-0,,LMH,SN,DM,2,3,1.0,Urtica californica
26,Pourouma cecropiifolia,Amazon Grape,Tree,15.0,10-12,F,MH,SN,M,4,2,2.0,Urtica californica
27,Touchardia latifolia,Olona,Shrub,2.0,10-12,S,LMH,FS,MWe,0,0,4.0,Urtica californica
28,Urera baccifera,"Nettle Tree, Chichaste, Ortiga",Shrub,4.0,10-12,F,LMH,SN,MWe,0,2,4.0,Urtica californica
29,Urtica angustifolia,,Perennial,1.5,-,,LMH,SN,M,3,0,3.0,Urtica californica
