,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Vaccinium alaskaense,Alaska Blueberry,Shrub,1.8,-,,LM,SN,M,2,0,,Vaccinium stamineum
1,Vaccinium amoenum,Large-Cluster Blueberry,Shrub,4.0,4-8,,LM,SN,MWe,2,0,,Vaccinium stamineum
2,Vaccinium angustifolium,"Low Sweet Blueberry, Lowbush blueberry",Shrub,0.2,2-6,,LM,SN,DM,3,1,0.0,Vaccinium stamineum
3,Vaccinium angustifolium laevifolium,Low Sweet Blueberry,Shrub,0.6,2-6,,LM,SN,DM,3,0,0.0,Vaccinium stamineum
4,Vaccinium arboreum,Farkleberry,Tree,5.0,6-9,,LM,SN,M,2,1,3.0,Vaccinium stamineum
5,Vaccinium arbuscula,Dwarf bilberry,Shrub,0.6,0-0,,LM,SN,MWe,1,0,,Vaccinium stamineum
6,Vaccinium arctostaphylos,Caucasian Whortleberry,Shrub,3.0,5-9,,LM,SN,M,3,0,0.0,Vaccinium stamineum
7,Vaccinium ashei,Rabbiteye Blueberry,Shrub,5.0,7-10,,LM,SN,M,2,0,,Vaccinium stamineum
8,Vaccinium australe,Northern Blueberry,Shrub,1.5,2-7,M,LM,SN,M,4,1,2.0,Vaccinium stamineum
9,Vaccinium bracteatum,Sea Bilberry,Shrub,1.0,6-9,,LM,SN,M,1,1,,Vaccinium stamineum
10,Vaccinium brittonii,,Shrub,2.0,-,,LM,SN,DM,1,0,,Vaccinium stamineum
11,Vaccinium caesariense,New Jersey blueberry,Shrub,1.5,-,,LM,SN,MWe,2,0,,Vaccinium stamineum
12,Vaccinium caespitosum,Dwarf Bilberry,Shrub,0.3,0-0,,LM,SN,M,3,1,0.0,Vaccinium stamineum
13,Vaccinium ciliatum,,Shrub,2.0,-,,LM,SN,M,1,0,,Vaccinium stamineum
14,Vaccinium constablaei,Hillside Blueberry,Shrub,1.0,-,,LM,SN,M,3,0,,Vaccinium stamineum
15,Vaccinium corymbosum,"High-Bush Blueberry, American Blueberry, Swamp Blueberry, Blueberry",Shrub,2.0,3-8,M,LM,SN,M,4,1,0.0,Vaccinium stamineum
16,Vaccinium crassifolium,Creeping Blueberry,Shrub,0.1,6-9,,LM,SN,M,3,0,2.0,Vaccinium stamineum
17,Vaccinium cylindraceum,,Shrub,3.0,9-11,,LM,SN,M,2,0,,Vaccinium stamineum
18,Vaccinium darrowii,Darrow's blueberry,Shrub,0.0,0-0,,LM,SN,DM,1,0,,Vaccinium stamineum
19,Vaccinium deliciosum,"Alpine Blueberry, Cascade bilberry",Shrub,0.3,5-9,,LM,SN,M,3,0,0.0,Vaccinium stamineum
20,Vaccinium duclouxii,,Shrub,3.0,8-11,,LM,SN,M,3,0,,Vaccinium stamineum
21,Vaccinium elliottii,Elliott's blueberry,Shrub,4.0,5-9,,LM,SN,M,1,0,,Vaccinium stamineum
22,Vaccinium erythrocarpum,Southern Mountain Cranberry,Shrub,1.5,5-9,,LM,SN,M,3,0,0.0,Vaccinium stamineum
23,Vaccinium formosum,"Swamp Highbush Blueberry, Southern blueberry",Shrub,4.0,5-9,,LM,SN,M,3,0,0.0,Vaccinium stamineum
24,Vaccinium fuscatum,Black Highbush Blueberry,Shrub,3.5,4-8,,LM,SN,MWe,3,0,0.0,Vaccinium stamineum
25,Vaccinium hirsutum,Hairy Huckleberry,Shrub,0.0,5-9,,LM,SN,M,3,0,,Vaccinium stamineum
26,Vaccinium hirtum,,Shrub,1.0,5-9,,LM,SN,M,1,0,,Vaccinium stamineum
27,Vaccinium japonicum,,Shrub,0.7,5-9,,LM,SN,M,2,0,,Vaccinium stamineum
28,Vaccinium koreanum,,Shrub,0.0,-,,LM,SN,M,1,0,,Vaccinium stamineum
29,Vaccinium leucanthum,,Shrub,0.0,-,,LM,SN,M,1,0,,Vaccinium stamineum
