,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Artemisia ludoviciana,"White Sage, Louisiana Sage, Prairie Sage, Western Mugwort",Perennial,1.0,4-9,M,LM,SN,DM,2,2,2.0,Vicia gigantea
1,Artemisia ludoviciana gnaphalodes,White Sage,Perennial,1.0,4-8,,LM,SN,DM,0,2,1.0,Vicia gigantea
2,Avena ludoviciana,Oats,Annual,0.0,-,,LMH,N,DM,2,0,2.0,Vicia gigantea
3,Lactuca ludoviciana,"Western Wild Lettuce, Biannual lettuce",Biennial,1.2,0-0,,LM,SN,M,2,2,,Vicia gigantea
4,Orobanche ludoviciana,"Broomrape, Louisiana broomrape",Perennial,1.5,0-0,,LMH,FSN,M,1,1,0.0,Vicia gigantea
5,Vicia americana,"American Vetch, Mat vetch",Perennial,1.0,4-7,,LMH,SN,M,2,1,4.0,Vicia gigantea
6,Vicia amoena,,Perennial,1.0,-,,LMH,SN,M,1,0,,Vicia gigantea
7,Vicia amurensis,,Perennial,1.5,-,,LMH,SN,M,1,0,,Vicia gigantea
8,Vicia articulata,One-Flower Vetch,Annual,0.6,-,,LMH,SN,M,1,0,3.0,Vicia gigantea
9,Vicia benghalensis,Purple Vetch,Annual/Perennial,0.6,-,F,LMH,SN,M,0,0,3.0,Vicia gigantea
10,Vicia caroliniana,"Carolina vetch, Carolina wood vetch",Perennial,0.6,3-9,M,LMH,FSN,M,0,2,4.0,Vicia gigantea
11,Vicia cracca,"Tufted Vetch, Bird vetch, Cow vetch",Perennial Climber,1.8,4-8,,LMH,SN,M,1,1,3.0,Vicia gigantea
12,Vicia ervilia,Bitter Vetch,Annual,0.6,-,,LMH,SN,M,1,0,,Vicia gigantea
13,Vicia faba equina,Horsebean,Annual,1.0,4-8,F,LMH,SN,M,3,0,3.0,Vicia gigantea
14,Vicia faba major,"Broad Bean, Fava Bean",Annual,1.0,4-10,F,LMH,SN,M,4,1,3.0,Vicia gigantea
15,Vicia faba minuta,Tick Bean,Annual,1.0,4-8,F,LMH,SN,M,3,0,3.0,Vicia gigantea
16,Vicia grandiflora kitaibeliana,large yellow vetch,Annual,0.0,-,,LMH,SN,M,2,0,,Vicia gigantea
17,Vicia heptajuga,,Perennial,0.0,-,,LMH,SN,M,1,0,,Vicia gigantea
18,Vicia hirsuta,"Hairy Tare, Tiny vetch",Annual,0.5,4-9,,LMH,SN,M,2,0,3.0,Vicia gigantea
19,Vicia hirticalycina,,Perennial,0.0,-,,LMH,SN,M,1,0,,Vicia gigantea
20,Vicia japonica,,Perennial,1.5,-,,LMH,SN,M,1,0,,Vicia gigantea
21,Vicia monantha,"Hard Vetch, Barn vetch",Annual,0.0,0-0,,LMH,SN,M,2,0,3.0,Vicia gigantea
22,Vicia narbonensis,"French Vetch, Purple broad vetch",Annual,1.0,0-0,,LMH,SN,M,2,0,,Vicia gigantea
23,Vicia nipponica,,Perennial,0.8,-,,LMH,SN,M,1,0,,Vicia gigantea
24,Vicia noeana,,Annual,0.6,-,,LMH,SN,M,1,0,,Vicia gigantea
25,Vicia pisiformis,"Pea Vetch, Pale-flower vetch",Perennial,1.8,0-0,,LMH,SN,M,1,0,,Vicia gigantea
26,Vicia pseudo-orobus,,Perennial,1.5,-,,LMH,SN,DM,1,0,,Vicia gigantea
27,Vicia sativa,"Winter Tares, Garden vetch, Subterranean vetch",Annual Climber,1.2,4-8,F,LMH,SN,M,3,0,3.0,Vicia gigantea
28,Vicia sativa leucosperma,Winter Tares,Annual Climber,1.2,4-8,F,LMH,SN,M,3,0,3.0,Vicia gigantea
