,Latin Name,Common Name,Habit,Height,Hardiness,Growth,Soil,Shade,Moisture,Edible,Medicinal,Other,Related To
0,Aconitum violaceum,,Perennial,0.0,5-9,,LMH,SN,M,1,1,,Viola biflora
1,Cardamine violacea,,Perennial,0.3,-,,LMH,SN,M,2,0,,Viola biflora
2,Gigantochloa atroviolacea,Black Bamboo. Giant Black bamboo,Bamboo,12.0,9-11,M,LMH,SN,M,2,0,3.0,Viola biflora
3,Hardenbergia violacea,"Coral Pea, Purple Coral Pea, False Sarsaparilla, Vine Lilac",Climber,2.0,9-11,F,LMH,SN,M,1,0,1.0,Viola biflora
4,Hymenanthera dentata,Tree Violet,Shrub,6.0,8-11,,LMH,N,M,0,0,2.0,Viola biflora
5,Melicytus ramiflorus,Whitey Wood,Tree,9.0,8-11,,LMH,N,M,1,0,2.0,Viola biflora
6,Orychophragmus violaceus,,Annual/Biennial,0.3,6-9,,LMH,N,M,1,0,,Viola biflora
7,Oxalis violacea,Violet Wood Sorrel,Bulb,0.3,4-8,,LMH,SN,DM,3,1,,Viola biflora
8,Tulbaghia violacea,Society Garlic,Perennial,0.3,7-11,F,LMH,N,M,4,2,3.0,Viola biflora
9,Viola acuminata,,Perennial,0.3,-,,LMH,SN,M,2,0,,Viola biflora
10,Viola adunca,"Western Dog Violet, Hookedspur violet, Kirk's violet",Perennial,0.1,4-8,,LMH,SN,M,3,1,2.0,Viola biflora
11,Viola brevistipulata,,Perennial,0.3,-,,LMH,SN,M,2,0,,Viola biflora
12,Viola canadensis,"Canada Violet, Canadian white violet, Creepingroot violet",Perennial,0.4,3-8,,LMH,SN,M,3,1,2.0,Viola biflora
13,Viola canina,Dog Violet,Perennial,0.4,5-9,,LMH,SN,M,3,1,,Viola biflora
14,Viola collina,,Perennial,0.1,-,,LMH,SN,M,2,0,,Viola biflora
15,Viola cornuta,"Horned Violet, Bedding Pansy, Tufted Pansy,",Perennial,0.2,6-11,F,LMH,SN,M,3,0,3.0,Viola biflora
16,Viola cucullata,Marsh Blue Violet,Perennial,0.2,3-8,,LMH,SN,MWe,3,1,3.0,Viola biflora
17,Viola diffusa,,Annual,0.1,-,,LMH,SN,M,2,2,,Viola biflora
18,Viola epipsila,Dwarf Marsh Violet,Perennial,0.1,4-8,,LMH,SN,M,3,0,1.0,Viola biflora
19,Viola esculenta,Salad violet,,0.0,0-0,,LMH,SN,M,0,0,,Viola biflora
20,Viola glabella,"Stream Violet, Pioneer violet",Perennial,0.1,4-8,,LMH,S,M,2,0,,Viola biflora
21,Viola grypoceras,,Perennial,0.3,-,,LMH,SN,M,2,0,,Viola biflora
22,Viola japonica,Japanese violet,Perennial,0.2,0-0,,LMH,SN,M,3,2,,Viola biflora
23,Viola keiskei,,Perennial,0.2,-,,LMH,SN,M,2,0,,Viola biflora
24,Viola labradorica,"Labrador Violet, Alpine violet, Johnny Jump-Up, Alpine Violet",Perennial,0.1,3-8,F,LMH,FSN,M,3,0,2.0,Viola biflora
25,Viola langsdorffii,Alaska Violet. Aleutian violet,Perennial,0.1,-,,LMH,SN,M,3,0,,Viola biflora
26,Viola mandshurica,Manchurian Violet,Perennial,0.2,7-10,,LMH,SN,M,3,0,,Viola biflora
27,Viola mirabilis,wonder violet,Perennial,0.2,4-8,,LMH,SN,M,3,1,,Viola biflora
28,Viola obtusa,,Perennial,0.1,-,,LMH,SN,M,2,0,,Viola biflora
